,brgy_name,ADM4_PCODE,ADM4_REF,mun_name,ADM3_PCODE,prov_name,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Leng,Shape_Area,AREA_SQKM,corn_farmers
0,Chanarian,PH0200901005,,Basco (Capital),PH0200901,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.085657494,0.000231556,2.675311592,14
1,Ihubok I (Kaychanarianan),PH0200901002,,Basco (Capital),PH0200901,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.086869736,0.000139141,1.607510528,8
2,Ihubok II (Kayvaluganan),PH0200901001,,Basco (Capital),PH0200901,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.088782285,0.000289057,3.339168649,17
3,Kayhuvokan,PH0200901006,,Basco (Capital),PH0200901,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.086760777,0.000141875,1.639102017,7
4,San Antonio,PH0200901003,,Basco (Capital),PH0200901,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.197166152,0.00072083,8.326372453,12
5,San Joaquin,PH0200901004,,Basco (Capital),PH0200901,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.219465851,0.001377029,15.90614496,12
6,Raele,PH0200902006,,Itbayat,PH0200902,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.384853567,0.0027336,31.52458333,69
7,San Rafael (Idiang),PH0200902007,,Itbayat,PH0200902,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.198904127,0.000972211,11.20849911,111
8,Santa Lucia (Kauhauhasan),PH0200902008,,Itbayat,PH0200902,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.270564584,0.001465281,16.89409605,58
9,Santa Maria (Marapuy),PH0200902009,,Itbayat,PH0200902,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.218908206,0.001082624,12.47899839,47
10,Santa Rosa (Kaynatuan),PH0200902010,,Itbayat,PH0200902,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.401315237,0.001493839,17.21243025,69
11,Radiwan,PH0200903001,,Ivana,PH0200903,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.11086198,0.000385991,4.461555457,4
12,Salagao,PH0200903002,,Ivana,PH0200903,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.102598266,0.000278685,3.220797074,1
13,San Vicente (Igang),PH0200903003,,Ivana,PH0200903,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.107284648,0.000462543,5.345279932,1
14,Tuhel (Pob.),PH0200903004,,Ivana,PH0200903,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.083371848,0.000145116,1.677217788,8
15,Ha?ib,PH0200904001,Hanib,Mahatao,PH0200904,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.067800656,7.7942e-05,0.900622437,
16,Kaumbakan,PH0200904002,,Mahatao,PH0200904,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.097329305,0.000322279,3.723752325,4
17,Panatayan,PH0200904003,,Mahatao,PH0200904,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.076237899,0.000195247,2.256213298,2
18,Uvoy (Pob.),PH0200904004,,Mahatao,PH0200904,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.142468726,0.000404995,4.680230727,
19,Chavayan,PH0200905001,,Sabtang,PH0200905,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.192373899,0.000534557,6.181909181,7
20,Malakdang (Pob.),PH0200905002,,Sabtang,PH0200905,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.130649175,0.000532938,6.161057262,17
21,Nakanmuan,PH0200905003,,Sabtang,PH0200905,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.256947688,0.000941598,10.88630142,1
22,Savidug,PH0200905004,,Sabtang,PH0200905,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.100193972,0.000494639,5.719459697,7
23,Sinakan (Pob.),PH0200905005,,Sabtang,PH0200905,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.100257287,0.000552264,6.385208224,29
24,Sumnanga,PH0200905006,,Sabtang,PH0200905,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.125900058,0.000488773,5.651958824,7
25,Imnajbu,PH0200906002,,Uyugan,PH0200906,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.072607564,0.000106637,1.232444348,1
26,Itbud,PH0200906003,,Uyugan,PH0200906,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.08929998,0.000342654,3.960265638,6
27,Kayuganan (Pob.),PH0200906004,,Uyugan,PH0200906,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.067438876,0.000156706,1.81133684,2
28,Kayvaluganan (Pob.),PH0200906001,,Uyugan,PH0200906,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.09997868,0.000372622,4.306993338,2
29,Alinunu,PH0201501001,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.079219241,0.000283879,3.319359935,6
30,Bagu,PH0201501002,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.074541005,0.000301573,3.526242911,
