year_funded,province,district,municipality,barangay,project_name,status,projects,length_km,influence_area_ha,farmer_beneficiaries,latitude,longitude
2016,BATANES,LONE,BASCO,DJAHANG,CONCRETING OF DJAHANG FMR,COMPLETED,1,0.2,50,30,20.458024000000002,121.9659
2016,BATANES,LONE,BASCO,SAN ANTONIO,CONCRETING OF MALAYU - DISEB FMR,COMPLETED,1,0.2,65,150,20.456786000000001,121.970169
2016,BATANES,LONE,ITBAYAT,RAELE,CONCRETING OF PANEMBATAN FMR,COMPLETED,1,1,75,150,20.731368,121.78881800000001
2016,BATANES,LONE,ITBAYAT,SAN RAFAEL,CONCRETING OF NAXURUD-CHINAPASWAN FTMR,COMPLETED,1,0.3,120,170,20.786192,121.836927
2016,BATANES,LONE,ITBAYAT,SAN RAFAEL,CONSTRUCTION OF KAMAYATUAN-MINASULI FTMR,COMPLETED,1,0.3,65,50,20.757788999999999,121.83702700000001
2016,BATANES,LONE,ITBAYAT,STA MARIA,REHABILITATION/IMPROVEMENT OF RAXAAYAN-KAXASWAS FMR,COMPLETED,1,0.2,70,70,20.802607999999999,121.84156
2016,BATANES,LONE,ITBAYAT,STA. LUCIA,CONCRETING OF LIPTAN-KARWARWAY FMR,COMPLETED,1,0.3,90,40,20.776627999999999,121.839567
2016,BATANES,LONE,ITBAYAT,STA. ROSA,CONCRETING OF LISED-MULONG FMR,COMPLETED,1,2,33,180,20.799620999999998,121.848263
2016,BATANES,LONE,ITBAYAT,STA. ROSA,REHABILITATION/IMPROVEMENT OF KATUYAN-CAPARIAN FMR,COMPLETED,1,0.2,90,50,20.798926000000002,121.842271
2016,BATANES,LONE,IVANA,SALAGAO,CONCRETING OF SAYED-TUNGA EXTENSION FTMR,COMPLETED,1,0.2,60,50,20.384543000000001,121.938103
2016,BATANES,LONE,IVANA,TUHEL,REHABILITATION/IMPROVEMENT OF ISNAHAYAN-MAYSOLIO FTMR,COMPLETED,1,0.2,144,100,20.371780000000001,121.92212000000001
2016,BATANES,LONE,MAHATAO,HANIB,CONCRETING OF VIAWU-TUNGA FTMR,COMPLETED,1,0.2,70,75,20.409338999999999,121.942123
2016,BATANES,LONE,MAHATAO,PAKARAYAN-TANUD-VUCHID,CONCRETING OF PAKARAYAN-TANUD-VUCHID FMR,COMPLETED,1,1.1,80,70,20.396198999999999,121.956962
2016,BATANES,LONE,MAHATAO,PANATAYAN,CONCRETING OF SUNGET-VANICHAS FMR,COMPLETED,1,0.2,100,40,20.417186000000001,121.950964
2016,BATANES,LONE,MAHATAO,UVOY,CONCRETING OF DISEB-VADICHI FMR,COMPLETED,1,0.2,70,50,20.405836999999998,121.95369599999999
2016,BATANES,LONE,SABTANG,MALAKDANG,CONCRETING OF HATENG-PAMONSINAN FMR,COMPLETED,1,0.2,95,30,20.320474999999998,121.870897
2016,BATANES,LONE,UYUGAN,KAYVALUGANAN,REHABILITATION/IMPROVEMENT OF MAHADHAD-CHANALAN FMR,COMPLETED,1,0.2,100,90,20.35427,121.941362
2016,BATANES,LONE,UYUGAN,SONGSONG-HARONG,CONCRETING OF SONGSONG-HARONG FMR,COMPLETED,1,0.3,190,30,20.361314,121.950997
2016,CAGAYAN,I,ALCALA,ABBEG / MINANGA,CONCRETING OF ABBEG-MINANGA FMR,COMPLETED,1,0.187,100,150,17.842699,121.621801
2016,CAGAYAN,I,APARRI,PADDAYA,CONCRETING OF PADDAYA FMR,COMPLETED,1,0.3015,150,300,18.331579999999999,121.71838
2016,CAGAYAN,I,APARRI,ZANJA / BISAGU,CONCRETING OF ZANJA-BISAGU FMR,COMPLETED,1,0.273,200,100,18.345925999999999,121.621318
2016,CAGAYAN,I,BAGGAO,ABUSAG,CONCRETING OF ABUSAG-SITIO MARUS FMR,COMPLETED,1,0.435,150,100,17.890965999999999,121.91265199999999
2016,CAGAYAN,I,BAGGAO,TAGUING,IMPROVEMENT OF TAGUING FMR,COMPLETED,1,0.232,165,120,17.943821,121.756975
2016,CAGAYAN,I,BUGUEY,SAN VICENTE,CONCRETING OF SAN VICENTE FMR,COMPLETED,1,0.3865,200,600,18.249165999999999,121.805863
2016,CAGAYAN,I,BUGUEY,STA. ISABEL,CONCRETING OF STA. ISABEL FMR,COMPLETED,1,0.332,260,200,18.201906000000001,121.822655
2016,CAGAYAN,I,CAMALANIUGAN,JOAQUIN DELA CRUZ / DAMMANG,"REHABILITATION OF JOAQUIN DELA CRUZ, DAMMANG FMR",COMPLETED,1,0.565,185,100,18.279315,121.653739
2016,CAGAYAN,I,GATTARAN,CAPISSAYAN SUR,ROAD OPENING OF CAPISSAYAN SUR FMR,COMPLETED,1,0.347,50,100,18.043043000000001,121.81973000000001
2016,CAGAYAN,I,GONZAGA,KADALAGAN,CONSTRUCTION OF KADALAGAN FMR,COMPLETED,1,0.401,100,200,18.259609999999999,122.006624
2016,CAGAYAN,I,LAL-LO,CAMBONG,REHABILITATION/IMPROVEMENT OF CAMBONG-BINAG FMR,COMPLETED,1,0.311,120,300,18.192982000000001,121.709998
2016,CAGAYAN,I,LAL-LO,CULLIT/ROSARIO,CONCRETING OF CULLIT-ROSARIO FMR (PHASE I),COMPLETED,1,0.7055,401,300,18.224115000000001,121.756062
2016,CAGAYAN,I,STA. ANA,RAPULI,CONSTRUCTION/ROAD OPENING OF FISAT-KATIWAYAN (PHASE 2) FMR,COMPLETED,1,0.2955,80,60,18.408442000000001,122.137669
2016,CAGAYAN,I,STA. TERESITA,LUGA,CONCRETING OF LUGA FMR,COMPLETED,1,0.115,95,70,18.216605999999999,121.892692
2016,CAGAYAN,II,ABULUG,CANAYUN,REHABILITATION/CONSTRUCTION OF CANAYUN FMR,COMPLETED,1,0.262,120,70,18.397074,121.42458600000001
2016,CAGAYAN,II,ABULUG,STA. ROSA,REHABILITATION/CONSTRUCTION OF STA. ROSA FMR,COMPLETED,1,0.245,55,100,18.369263,121.44373400000001
2016,CAGAYAN,II,ALLACAPAN,CATARATAN,REHABILITATION/CONSTRUCTION OF CATARATAN FMR,COMPLETED,1,0.225,85,55,18.239332000000001,121.50229
2016,CAGAYAN,II,ALLACAPAN,NAGATTATAN,REHABILITATION/CONSTRUCTION OF NAGATTATAN FMR,COMPLETED,1,0.226,105,80,18.135480000000001,121.498711
2016,CAGAYAN,II,BALLESTEROS,CABULUAN / MABURIL,REHABILITATION/CONSTRUCTION OF CABULUAN-MABURIL (PHASE 2) FMR,COMPLETED,1,0.27,150,300,18.409438999999999,121.49515700000001
