facility_id,facility_name,facility_type,province,district,municipality,barangay,latitude,longitude,status,capacity,service_area_ha,project_amount,year_granted,year_finished,year_constructed,source_layer,source_folder,remarks
IRR00001,Gaddangao_SWIP,SWIP,Cagayan,2nd District,Rizal,,17.7839668,121.4329071,Not specified in source,,,,,,,Gaddangao SWIP,Gaddangao_SWIP,
IRR00002,Minanga_DD,DD,Cagayan,2nd District,Piat,,17.8271337,121.4992547,Not specified in source,,,,,,,DD,Minanga_DD,
IRR00003,San_Pablo_SWIP,SWIP,Isabela,6th District,City of Cauayan,,16.8846229,121.8460554,Not specified in source,,,,,,,San Pablo SWIP,San_Pablo_SWIP,
IRR-KML-0001,PISOS_SPIS,PISOS,Cagayan,1st District,Baggao,Masical,17.9122740,121.7512150,Not specified in source,,4.9,,,,,PUMP AND ENGINE,PISOS_SPIS,Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0002,PISOS_SPIS,PISOS,Cagayan,1st District,Baggao,Masical,17.9145070,121.7460600,Not specified in source,,4.4,,,,,PUMP AND ENGINE,PISOS_SPIS,Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0003,PISOS_SPIS,PISOS,Isabela,2nd District,Naguilian,Bitag Paque�o,17.0000000,121.8614480,Not specified in source,,,,,,,PUMP AND ENGINE,PISOS_SPIS,Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0004,PISOS_SPIS,PISOS,Cagayan,2nd District,Abulug,San Julian,18.4433180,121.3863640,Not specified in source,,5.5,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0199; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0005,PISOS_SPIS,PISOS,Cagayan,2nd District,Abulug,San Julian,18.4390730,121.4113250,Not specified in source,,3.4,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0181; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0006,PISOS_SPIS,PISOS,Cagayan,2nd District,Abulug,Dana-ili,18.4242060,121.4058510,Not specified in source,,6,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0181; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0007,PISOS_SPIS,PISOS,Cagayan,2nd District,Abulug,Guiddam,18.3431080,121.4493840,Not specified in source,,4.5,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0200; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0008,PISOS_SPIS,PISOS,Cagayan,,Abulug,Banguian,18.1424300,121.4430470,Not specified in source,,3,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0201; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0009,PISOS_SPIS,PISOS,Cagayan,2nd District,Abulug,Sto. Tomas,18.4414790,121.3875350,Not specified in source,,3.3,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0198; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0010,PISOS_SPIS,PISOS,Cagayan,2nd District,Abulug,Sto. Tomas,18.4492680,121.4325170,Not specified in source,,3,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0197; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0011,PISOS_SPIS,PISOS,Cagayan,2nd District,Abulug,Sto. Tomas,18.4453100,121.4295410,Not specified in source,,3,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0180; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0012,PISOS_SPIS,PISOS,Cagayan,2nd District,Lasam,Viga,18.0417750,121.5553150,Not specified in source,,4.75,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0183; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0013,PISOS_SPIS,PISOS,Cagayan,2nd District,Claveria,Masisit,18.6132280,121.1000000,Not specified in source,,3,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0184; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0014,PISOS_SPIS,PISOS,Cagayan,2nd District,Sanchez-Mira,Tokitok,18.6011300,121.1751220,Not specified in source,,4.4,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0203; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
IRR-KML-0015,PISOS_SPIS,PISOS,Cagayan,2nd District,Sanchez-Mira,Nagrangtayan,18.6050450,121.1666420,Not specified in source,,4,,2019,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 19-12-0202; Engine: YANMAR TF 90; Supplier: EQUITY MACHINERIES INC
