source_file,sheet,province,district,municipality,year,program,activity,unit,physical_target,budget,length_km,allocation_method,source_note
batanes.xlsx,HVCDP,Batanes,LONE DISTRICT,,2025,High Value Crops,High Value Crops district/province total,,,5625.71,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,HVCDP,Batanes,LONE DISTRICT,,2026,High Value Crops,High Value Crops district/province total,,,11435.71,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,NUPAP,Batanes,LONE,,2025,NUPAP,NUPAP district/province total,,,194.95,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,NUPAP,Batanes,LONE,,2026,NUPAP,NUPAP district/province total,,,2792.00,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,LIVESTOCK,Batanes,LONE,,2025,LIVESTOCK,LIVESTOCK district/province total,,,4205.46,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,LIVESTOCK,Batanes,LONE,,2026,LIVESTOCK,LIVESTOCK district/province total,,,405.46,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,FMR,Batanes,LONE,Itbayat,2025,Farm-to-Market Roads,Concreting of Viewdeck- Sitio Pasduxan FMR,Sta. Rosa,,15000.00,1.00,direct municipality row,Concreting of Viewdeck- Sitio Pasduxan FMR
batanes.xlsx,FMR,Batanes,LONE,Uyugan,2025,Farm-to-Market Roads,Concreting of Gi- Arani- Vadinaran FMR,Kayuganan,,15000.00,1.00,direct municipality row,Concreting of Gi- Arani- Vadinaran FMR
batanes.xlsx,FMR,Batanes,LONE,Ivana,2026,Farm-to-Market Roads,"Concreting of Vatang-Matu FMR, Brgy. San Vicente, Ivana, Batanes",San Vicente,,20000.00,1.33,direct municipality row,"Concreting of Vatang-Matu FMR, Brgy. San Vicente, Ivana, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Itbayat,2026,Farm-to-Market Roads,"Concreting of Katuyan, Sta. Rosa FMR, Itbayat, Batanes",Sta. Rosa,,20000.00,1.00,direct municipality row,"Concreting of Katuyan, Sta. Rosa FMR, Itbayat, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Mahatao,2026,Farm-to-Market Roads,"Concreting of Chaina-Tayaran-Gidem FMR, Phase III Brgy. Panatayan, Mahatao, Batanes",Panatayan,,10000.00,0.50,direct municipality row,"Concreting of Chaina-Tayaran-Gidem FMR, Phase III Brgy. Panatayan, Mahatao, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Basco (Capital),2026,Farm-to-Market Roads,"Construction of Diajang to Divia FMR, Phase I , Brgy. San Antonio, Basco, Batanes",San Antonio,,15000.00,0.50,direct municipality row,"Construction of Diajang to Divia FMR, Phase I , Brgy. San Antonio, Basco, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Basco (Capital),2027,Farm-to-Market Roads,"Construction of Charatayan-San Miguel Phase II FMR, Brgy. Kayvaluganan, Basco, Batanes",Kayvaluganan,,7500.00,0.30,direct municipality row,"Construction of Charatayan-San Miguel Phase II FMR, Brgy. Kayvaluganan, Basco, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Basco (Capital),2027,Farm-to-Market Roads,"Construction of Vahangsien-Nayep Phase II FMR, Brgy. Kayhuvukan, Basco, Batanes",Kayhuvukan,,12500.00,0.50,direct municipality row,"Construction of Vahangsien-Nayep Phase II FMR, Brgy. Kayhuvukan, Basco, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Basco (Capital),2027,Farm-to-Market Roads,"Construction of Diuran-Satuvang FMR, Brgy. Kayhuvukan, Basco, Batanes",Kayhuvukan,,12500.00,0.50,direct municipality row,"Construction of Diuran-Satuvang FMR, Brgy. Kayhuvukan, Basco, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Mahatao,2027,Farm-to-Market Roads,"Construction of Diseb-Tavadang FMR, Uvoy, Mahatao, Batanes",Uvoy,,12500.00,0.50,direct municipality row,"Construction of Diseb-Tavadang FMR, Uvoy, Mahatao, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Ivana,2027,Farm-to-Market Roads,"Construction of San Felix-Racuj FMR, Brgy. Radiwan, Ivana, Batanes",Radiwan,,12500.00,0.50,direct municipality row,"Construction of San Felix-Racuj FMR, Brgy. Radiwan, Ivana, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Uyugan,2027,Farm-to-Market Roads,"Construction of Sumanga-Chavuan FMR, Brgy. Kayvaluganan, Uyugan, Batanes",Kayvaluganan,,16500.00,0.65,direct municipality row,"Construction of Sumanga-Chavuan FMR, Brgy. Kayvaluganan, Uyugan, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Uyugan,2027,Farm-to-Market Roads,"Construction of Chingteb-Babal FMR Phase III FMR, Brgy. Imnajbu, Uyugan, Isabela",Imnajbu,,21000.00,0.84,direct municipality row,"Construction of Chingteb-Babal FMR Phase III FMR, Brgy. Imnajbu, Uyugan, Isabela"
batanes.xlsx,FMR,Batanes,LONE,Itbayat,2027,Farm-to-Market Roads,"Construction of Iñas-Vugayong FMR, Brgy. Sta. Maria, Itbayat, Batanes",Sta. Maria,,22500.00,0.90,direct municipality row,"Construction of Iñas-Vugayong FMR, Brgy. Sta. Maria, Itbayat, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Sabtang,2027,Farm-to-Market Roads,"Concreting of Supi-Iraya FMR, Brgy. Sinakan, Sabtang, Batanes",Sinakan,,25000.00,1.00,direct municipality row,"Concreting of Supi-Iraya FMR, Brgy. Sinakan, Sabtang, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Itbayat,2027,Farm-to-Market Roads,"Construction of Yawran-Riñwan FMR, Brgy. San Rafael, Itbayat, Batanes",San Rafael,,12500.00,0.50,direct municipality row,"Construction of Yawran-Riñwan FMR, Brgy. San Rafael, Itbayat, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Sabtang,2027,Farm-to-Market Roads,"Construction of Satuvang-Chaninu, Brgy. Savidug FMR Phase III, Brgy. Savidug, Sabtang, Batanes",Savidug,,16000.00,0.50,direct municipality row,"Construction of Satuvang-Chaninu, Brgy. Savidug FMR Phase III, Brgy. Savidug, Sabtang, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Sabtang,2027,Farm-to-Market Roads,"Construction of Sitio Riwas-Roro Port, Brgy. Malakdang FMR, Brgy. Malakdang, Sabtang, Batanes",Malakdang,,13500.00,0.50,direct municipality row,"Construction of Sitio Riwas-Roro Port, Brgy. Malakdang FMR, Brgy. Malakdang, Sabtang, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Itbayat,2027,Farm-to-Market Roads,"Construction of Aran-an-Kaysaysakan, Raele FMR, Brgy. Raele, Itbayat, Batanes",Raele,,23400.00,1.00,direct municipality row,"Construction of Aran-an-Kaysaysakan, Raele FMR, Brgy. Raele, Itbayat, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Itbayat,2027,Farm-to-Market Roads,"Construction of Camaya-Ripused, Sta. Lucia FMR, Brgy. Sta. Lucia, Itbayat, Batanes",Sta. Lucia,,25700.00,1.10,direct municipality row,"Construction of Camaya-Ripused, Sta. Lucia FMR, Brgy. Sta. Lucia, Itbayat, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Uyugan,2027,Farm-to-Market Roads,"Construction of Chanalan-Mahedhed, Brgy. Kayvaluganan FMR, Brgy. Kayvaluganan, Uyugan, Batanes",Kayvaluganan,,49000.00,0.77,direct municipality row,"Construction of Chanalan-Mahedhed, Brgy. Kayvaluganan FMR, Brgy. Kayvaluganan, Uyugan, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Basco (Capital),2027,Farm-to-Market Roads,"Construction of Chinteb-Chahayan FMR, Brgy. San Antonio, Basco, Batanes",San Antonio,,19500.00,0.50,direct municipality row,"Construction of Chinteb-Chahayan FMR, Brgy. San Antonio, Basco, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Basco (Capital),2027,Farm-to-Market Roads,"Construction of Sapuno-Malakdang FMR, Brgy. Kayvaluganan, Basco, Batanes",Kayvaluganan,,21500.00,0.50,direct municipality row,"Construction of Sapuno-Malakdang FMR, Brgy. Kayvaluganan, Basco, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Uyugan,2027,Farm-to-Market Roads,"Construction of Chingteb-Babal FMR Phase III, Brgy Imnajbu, Uyugan, Batanes",Imnajbu,,46200.00,0.84,direct municipality row,"Construction of Chingteb-Babal FMR Phase III, Brgy Imnajbu, Uyugan, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Ivana,2027,Farm-to-Market Roads,"Construction of Nakurang-Tukon-Chatujian, Brgy Radiwan FMR Phase IV, Brgy. Radiwan, Ivana, Batanes",Radiwan,,48000.00,1.00,direct municipality row,"Construction of Nakurang-Tukon-Chatujian, Brgy Radiwan FMR Phase IV, Brgy. Radiwan, Ivana, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Ivana,2027,Farm-to-Market Roads,"Construction of Sivukot-Aramain, Brgy Tuhel FMR, Brgy. Tubel, Ivana, Batanes",Tuhel,,39120.00,0.82,direct municipality row,"Construction of Sivukot-Aramain, Brgy Tuhel FMR, Brgy. Tubel, Ivana, Batanes"
batanes.xlsx,SAAD,Batanes,LONE,Itbayat,2027,SAAD,c.1 Beneficiary Profiling conducted,group,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Uyugan,2027,SAAD,c.1 Beneficiary Profiling conducted,group,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Basco (Capital),2027,SAAD,c.1 Beneficiary Profiling conducted,group,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Ivana,2027,SAAD,c.1 Beneficiary Profiling conducted,group,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Itbayat,2027,SAAD,c.2 Database Uploading conducted,group,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Uyugan,2027,SAAD,c.2 Database Uploading conducted,group,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Basco (Capital),2027,SAAD,c.2 Database Uploading conducted,group,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Ivana,2027,SAAD,c.2 Database Uploading conducted,group,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
