source_file,sheet,province,text
cagayan_2.xlsx,CORN,Cagayan,Sto. Nino
cagayan_2.xlsx,CORN,Cagayan,Sto. Nino
cagayan_3.xlsx,CORN,Cagayan,Penablanca
cagayan_3.xlsx,CORN,Cagayan,Penablanca
cagayan_3.xlsx,CORN,Cagayan,Penablanca
cagayan_3.xlsx,CORN,Cagayan,Penablanca
cagayan_3.xlsx,CORN,Cagayan,Penablanca
cagayan_3.xlsx,CORN,Cagayan,Penablanca
cagayan_3.xlsx,CORN,Cagayan,Penablanca
cagayan_3.xlsx,CORN,Cagayan,250.0 150 250 150 Penablanca
cagayan_3.xlsx,CORN,Cagayan,10000.0 400 10000 400 Penablanca
cagayan_3.xlsx,CORN,Cagayan,Penablanca
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Sto. Tomas
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Sto. Tomas
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Sto. Tomas
isabela_1.xlsx,CORN,Isabela,Sto. Tomas
nueva_vizcaya.xlsx,OAP,Nueva Vizcaya,1. RUNRUNO MULTIPURPOSE COOPERATIVE
nueva_vizcaya.xlsx,OAP,Nueva Vizcaya,Runruno
nueva_vizcaya.xlsx,OAP,Nueva Vizcaya,Nueva Vizcaya 2. DUR-AS Agriculture Cooperative
nueva_vizcaya.xlsx,OAP,Nueva Vizcaya,Duruarug
nueva_vizcaya.xlsx,OAP,Nueva Vizcaya,Nueva Vizcaya
