dbSoilAnaliysis.Province,Ø,dbSoilAnaliysis.Latitude,dbSoilAnaliysis.Longtitude
Cagayan,,,
Cagayan,3,,
Cagayan,,17.40562,121.74745
Cagayan,,17.5205,121.7762
Cagayan,,17.521,121.7138
Cagayan,,17.5235,121.692
Cagayan,,17.5243,121.692
Cagayan,,17.5273,121.691
Cagayan,,17.5289,121.69
Cagayan,,17.5291,121.695
Cagayan,,17.5355,121.691
Cagayan,,17.5425,121.696
Cagayan,,17.545,121.688
Cagayan,,121.7847,121.688
Cagayan,,17.5529,121.8359
Cagayan,,17.5535,121.7825
Cagayan,,17.5552,121.6937
Cagayan,,17.5569,121.748
Cagayan,,17.5646,121.645
Cagayan,,17.5689,121.651
Cagayan,,121.6511,121.651
Cagayan,,17.5702,121.7741
Cagayan,,17.5721,121.5738
Cagayan,,17.5729,121.83
Cagayan,,17.5731,121.7422
Cagayan,,17.5741,121.7425
Cagayan,,17.5751,121.7293
Cagayan,,17.5753,121.7697
Cagayan,,17.5762,121.831
Cagayan,,17.5778,121.597
Cagayan,,17.581,121.7648
Cagayan,,17.5963,121.833
Cagayan,,17.5981,121.634
Cagayan,,17.6004,121.6009
Cagayan,,17.6011,121.7956
Cagayan,,17.6015,121.7565
Cagayan,,17.6128,121.8156
Cagayan,,17.61577,121.72285
Cagayan,,17.62,121.7908
Cagayan,,17.6213,121.6369
Cagayan,,17.6277,121.8134
Cagayan,,17.6283,121.5969
Cagayan,,17.6314,121.5798
Cagayan,,17.634,121.5256
Cagayan,,17.6342,121.6155
Cagayan,,121.616,121.6155
Cagayan,,17.6368,121.6083
Cagayan,,17.6373,121.6939
Cagayan,,17.6382,121.7924
Cagayan,,17.6383,121.6811
Cagayan,,17.639,121.6471
Cagayan,,17.6436,121.6886
Cagayan,,17.6494,121.5969
Cagayan,,17.6496,121.6134
Cagayan,,17.6516,121.614
Cagayan,,17.6522,121.8081
Cagayan,,17.6529,121.6654
Cagayan,,17.6547,121.7254
Cagayan,,17.6548,121.7255
Cagayan,,17.6549,121.7256
Cagayan,,17.655,121.7257
Cagayan,,17.6551,121.7258
Cagayan,,17.6552,121.7259
Cagayan,,17.6553,121.726
Cagayan,,17.6554,121.7261
Cagayan,,17.6555,121.7262
Cagayan,,17.6556,121.7263
Cagayan,,17.6557,121.7264
Cagayan,,17.6558,121.7265
Cagayan,,17.6573,121.6996
Cagayan,,17.6587,121.592
Cagayan,,17.6602,121.7113
Cagayan,,17.6604,121.6825
Cagayan,,17.6605,121.588
Cagayan,,121.618,121.588
Cagayan,,121.6184,121.588
Cagayan,,17.662,121.592
Cagayan,,17.6641,121.597
Cagayan,,17.6684,121.6567
Cagayan,,17.6685,121.8278
Cagayan,,17.6699,121.68
Cagayan,,17.6703,121.686
Cagayan,,17.6704,121.682
Cagayan,,17.6706,121.681
Cagayan,,121.685,121.681
Cagayan,,17.6708,121.682
Cagayan,,121.683,121.682
Cagayan,,17.6711,121.679
Cagayan,,17.6712,121.68
Cagayan,,121.685,121.68
Cagayan,,17.6714,121.682
Cagayan,,17.6723,121.68
Cagayan,,121.683,121.68
Cagayan,,17.6725,121.4513
Cagayan,,17.6726,121.81
Cagayan,,17.6727,121.682
Cagayan,,17.6728,121.682
Cagayan,,17.673,121.678
Cagayan,,17.6734,121.683
Cagayan,,17.6735,121.677
Cagayan,,121.679,121.677
Cagayan,,121.683,121.677
Cagayan,,17.6736,121.681
Cagayan,,17.6738,121.677
Cagayan,,121.679,121.677
Cagayan,,17.674,121.682
Cagayan,,121.809,121.682
Cagayan,,17.6743,121.678
Cagayan,,121.811,121.678
Cagayan,,17.6744,121.681
Cagayan,,121.812,121.681
Cagayan,,17.6745,121.678
Cagayan,,17.6746,121.813
Cagayan,,17.6747,121.678
Cagayan,,121.681,121.678
Cagayan,,121.8079,121.678
Cagayan,,121.811,121.678
Cagayan,,17.675,121.681
Cagayan,,17.6751,121.679
Cagayan,,121.68,121.679
Cagayan,,121.811,121.679
Cagayan,,17.6755,121.81
Cagayan,,121.8532,121.81
Cagayan,,17.6756,121.677
Cagayan,,121.679,121.677
Cagayan,,17.6757,121.682
Cagayan,,17.6758,121.678
Cagayan,,121.809,121.678
Cagayan,,17.6759,121.68
Cagayan,,17.676,121.678
Cagayan,,17.6761,121.6825
Cagayan,,17.6762,121.678
Cagayan,,17.6764,121.81
Cagayan,,17.6765,121.678
Cagayan,,17.6767,121.4566
Cagayan,,121.678,121.4566
Cagayan,,17.6773,121.679
Cagayan,,17.6775,121.681
Cagayan,,17.6776,121.809
Cagayan,,17.6782,121.679
Cagayan,,17.6798,121.6009
Cagayan,,17.6806,121.4851
Cagayan,,17.6831,121.594
Cagayan,,17.6843,121.8
Cagayan,,17.6866,121.5929
Cagayan,,17.6879,121.675
Cagayan,,121.7267,121.675
Cagayan,,17.688,121.8906
Cagayan,,17.6886,121.6568
Cagayan,,17.6891,121.757
Cagayan,,17.6898,121.6939
Cagayan,,17.691,121.8063
Cagayan,,17.6943,121.5655
Cagayan,,17.6961,121.7979
Cagayan,,17.6975,121.768
Cagayan,,17.698,121.696
Cagayan,,17.6992,121.504
Cagayan,,17.7,121.69
Cagayan,,17.7003,121.696
Cagayan,,17.7005,121.695
Cagayan,,17.7007,121.691
Cagayan,,121.692,121.691
Cagayan,,17.7013,121.6882
Cagayan,,17.7017,121.691
Cagayan,,17.7018,121.69
Cagayan,,17.7019,121.8088
Cagayan,,17.7021,121.691
Cagayan,,121.692,121.691
Cagayan,,17.7028,121.688
Cagayan,,121.694,121.688
Cagayan,,17.7039,121.691
Cagayan,,17.7045,121.695
Cagayan,,17.7047,121.69
Cagayan,,17.7048,121.685
Cagayan,,17.7054,121.489
Cagayan,,17.7055,121.688
Cagayan,,17.7056,121.688
Cagayan,,17.7058,121.694
Cagayan,,17.7059,121.7509
Cagayan,,121.751,121.7509
Cagayan,,17.7062,121.687
Cagayan,,17.7063,121.695
Cagayan,,17.7065,121.687
Cagayan,,121.69,121.687
Cagayan,,17.7066,121.694
Cagayan,,17.7067,121.688
Cagayan,,121.691,121.688
Cagayan,,17.7069,121.689
Cagayan,,121.693,121.689
Cagayan,,17.7072,121.696
Cagayan,,17.7073,121.691
Cagayan,,121.8392,121.691
Cagayan,,17.7077,121.687
Cagayan,,121.691,121.687
Cagayan,,17.7081,121.689
Cagayan,,17.7082,121.687
Cagayan,,121.693,121.687
Cagayan,,17.7083,121.689
Cagayan,,121.695,121.689
Cagayan,,17.7084,121.7129
Cagayan,,121.753,121.7129
Cagayan,,17.7085,121.4446
Cagayan,,121.685,121.4446
Cagayan,,121.69,121.4446
Cagayan,,17.7086,121.684
Cagayan,,17.7087,121.687
Cagayan,,121.688,121.687
Cagayan,,121.748,121.687
Cagayan,,121.753,121.687
Cagayan,,17.7088,121.687
Cagayan,,121.691,121.687
Cagayan,,121.752,121.687
Cagayan,,17.7089,121.686
Cagayan,,17.709,121.687
Cagayan,,17.7091,121.688
Cagayan,,121.696,121.688
Cagayan,,121.749,121.688
Cagayan,,17.7092,121.695
Cagayan,,17.7093,121.686
Cagayan,,121.689,121.686
Cagayan,,121.693,121.686
Cagayan,,17.7095,121.687
Cagayan,,17.7096,121.687
Cagayan,,121.688,121.687
Cagayan,,121.693,121.687
Cagayan,,121.753,121.687
Cagayan,,17.7097,121.688
Cagayan,,121.69,121.688
Cagayan,,121.692,121.688
Cagayan,,121.693,121.688
Cagayan,,121.695,121.688
Cagayan,,17.7098,121.689
Cagayan,,121.69,121.689
Cagayan,,121.753,121.689
Cagayan,,17.7099,121.696
Cagayan,,17.71,121.685
Cagayan,,121.696,121.685
Cagayan,,17.7101,121.4568
Cagayan,,17.7102,121.693
Cagayan,,121.695,121.693
Cagayan,,17.7104,121.691
Cagayan,,121.692,121.691
Cagayan,,121.695,121.691
Cagayan,,17.7106,121.689
Cagayan,,121.692,121.689
Cagayan,,17.7107,121.69
Cagayan,,121.694,121.69
Cagayan,,17.7108,121.747
Cagayan,,17.7111,121.689
Cagayan,,17.7113,121.689
Cagayan,,121.693,121.689
Cagayan,,17.7114,121.587
Cagayan,,121.687,121.587
Cagayan,,17.7115,121.691
Cagayan,,121.694,121.691
Cagayan,,17.7116,121.689
Cagayan,,121.694,121.689
Cagayan,,17.7118,121.686
Cagayan,,17.7119,121.686
Cagayan,,121.688,121.686
Cagayan,,121.692,121.686
Cagayan,,121.694,121.686
Cagayan,,17.712,121.586
Cagayan,,17.7121,121.69
Cagayan,,17.7123,121.687
Cagayan,,121.692,121.687
Cagayan,,17.7124,121.585
Cagayan,,121.687,121.585
Cagayan,,121.689,121.585
Cagayan,,17.7126,121.687
Cagayan,,121.691,121.687
Cagayan,,121.693,121.687
Cagayan,,17.7127,121.583
Cagayan,,121.687,121.583
Cagayan,,121.688,121.583
Cagayan,,121.689,121.583
Cagayan,,121.691,121.583
Cagayan,,121.692,121.583
Cagayan,,17.7128,121.691
Cagayan,,17.7129,121.593
Cagayan,,121.691,121.593
Cagayan,,17.7132,121.687
Cagayan,,17.7133,121.577
Cagayan,,17.7134,121.69
Cagayan,,17.7135,121.688
Cagayan,,121.689,121.688
Cagayan,,121.69,121.688
Cagayan,,17.7136,121.687
Cagayan,,17.7138,121.689
Cagayan,,17.7143,121.688
Cagayan,,17.7144,121.586
Cagayan,,121.688,121.586
Cagayan,,121.8972,121.586
Cagayan,,17.7146,121.585
Cagayan,,121.688,121.585
Cagayan,,17.7147,121.584
Cagayan,,17.7152,121.595
Cagayan,,17.7157,121.8088
Cagayan,,17.7167,121.581
Cagayan,,17.7171,121.6882
Cagayan,,17.7174,121.58
Cagayan,,17.7181,121.582
Cagayan,,17.7185,121.583
Cagayan,,17.7199,121.4737
Cagayan,,17.7223,121.522
Cagayan,,17.7225,121.588
Cagayan,,121.59,121.588
Cagayan,,17.72256,121.68028
Cagayan,,17.7231,121.6451
Cagayan,,17.7232,121.596
Cagayan,,17.7236,121.524
Cagayan,,121.74,121.524
Cagayan,,17.7238,121.524
Cagayan,,17.7239,121.522
Cagayan,,121.596,121.522
Cagayan,,17.7248,121.522
Cagayan,,17.7249,121.527
Cagayan,,17.7254,121.7646
Cagayan,,17.7269,121.5524
Cagayan,,17.7286,121.6825
Cagayan,,17.7292,121.527
Cagayan,,17.7301,121.525
Cagayan,,17.7303,121.527
Cagayan,,17.7305,121.529
Cagayan,,17.7311,121.527
Cagayan,,17.7322,121.526
Cagayan,,17.7326,121.6454
Cagayan,,17.734,121.527
Cagayan,,17.7345,121.4428
Cagayan,,17.7358,121.528
Cagayan,,17.7363,121.8589
Cagayan,,17.7388,121.735
Cagayan,,17.7395,121.768
Cagayan,,17.7404,121.53
Cagayan,,17.7414,121.529
Cagayan,,17.7423,121.528
Cagayan,,17.7426,121.744
Cagayan,,17.743,121.7126
Cagayan,,17.7444,121.4809
Cagayan,,17.7465,121.5085
Cagayan,,121.509,121.5085
Cagayan,,17.7472,121.732
Cagayan,,17.7524,121.4719
Cagayan,,17.7576,121.5941
Cagayan,,17.7589,121.736
Cagayan,,17.7592,121.7067
Cagayan,,17.7597,121.6689
Cagayan,,17.7641,121.516
Cagayan,,121.752,121.516
Cagayan,,17.7643,121.7517
Cagayan,,17.7648,121.736
Cagayan,,17.765,121.736
Cagayan,,17.7652,121.736
Cagayan,,121.738,121.736
Cagayan,,17.7657,121.737
Cagayan,,17.7658,121.7274
Cagayan,,17.7659,121.738
Cagayan,,17.7661,121.738
Cagayan,,17.7662,121.735
Cagayan,,121.736,121.735
Cagayan,,17.7663,121.737
Cagayan,,17.7664,121.741
Cagayan,,17.7665,121.736
Cagayan,,17.7667,121.736
Cagayan,,17.7668,121.736
Cagayan,,17.767,121.735
Cagayan,,121.736,121.735
Cagayan,,17.7675,121.735
Cagayan,,17.7677,121.735
Cagayan,,17.7678,121.735
Cagayan,,17.7679,121.735
Cagayan,,17.7681,121.737
Cagayan,,17.7682,121.735
Cagayan,,17.7683,121.735
Cagayan,,17.7684,121.52
Cagayan,,17.7685,121.736
Cagayan,,17.7687,121.735
Cagayan,,17.7691,121.4608
Cagayan,,121.553,121.4608
Cagayan,,17.7692,121.736
Cagayan,,17.7696,121.736
Cagayan,,17.7698,121.5256
Cagayan,,17.7699,121.736
Cagayan,,17.7703,121.736
Cagayan,,17.7706,121.736
Cagayan,,17.7707,121.737
Cagayan,,17.7708,121.734
Cagayan,,17.7709,121.6791
Cagayan,,121.736,121.6791
Cagayan,,17.7711,121.734
Cagayan,,121.737,121.734
Cagayan,,17.7714,121.736
Cagayan,,17.7717,121.7124
Cagayan,,17.7721,121.734
Cagayan,,17.7723,121.736
Cagayan,,17.7725,121.44
Cagayan,,17.773,121.439
Cagayan,,17.7731,121.7566
Cagayan,,17.7736,121.441
Cagayan,,17.7744,121.439
Cagayan,,17.7752,121.5923
Cagayan,,17.7753,121.5005
Cagayan,,17.7755,121.44
Cagayan,,17.7758,121.4539
Cagayan,,17.7768,121.568
Cagayan,,17.7772,121.441
Cagayan,,17.7777,121.445
Cagayan,,17.778,121.442
Cagayan,,17.7799,121.454
Cagayan,,121.4542,121.454
Cagayan,,17.7827,121.564
Cagayan,,17.7847,121.565
Cagayan,,17.7852,121.565
Cagayan,,121.566,121.565
Cagayan,,17.7855,121.567
Cagayan,,17.7857,121.759
Cagayan,,121.7594,121.759
Cagayan,,17.7858,121.566
Cagayan,,17.7861,121.565
Cagayan,,17.7864,121.566
Cagayan,,121.605,121.566
Cagayan,,17.7873,121.565
Cagayan,,121.736,121.565
Cagayan,,17.7874,121.606
Cagayan,,17.7879,121.6557
Cagayan,,17.7883,121.566
Cagayan,,17.7897,121.564
Cagayan,,17.791,121.564
Cagayan,,17.7911,121.561
Cagayan,,17.7954,121.5884
Cagayan,,17.7963,121.562
Cagayan,,17.7975,121.563
Cagayan,,17.798,121.4741
Cagayan,,17.7983,121.557
Cagayan,,17.7984,121.4415
Cagayan,,17.7987,121.564
Cagayan,,17.799,121.735
Cagayan,,17.7991,121.5085
Cagayan,,17.7993,121.56
Cagayan,,17.8003,121.7438
Cagayan,,121.744,121.7438
Cagayan,,17.8004,121.8603
Cagayan,,17.8006,121.6641
Cagayan,,17.8014,121.728
Cagayan,,17.8018,121.728
Cagayan,,121.733,121.728
Cagayan,,17.8027,121.727
Cagayan,,17.8031,121.729
Cagayan,,17.8032,121.727
Cagayan,,121.733,121.727
Cagayan,,17.8033,121.732
Cagayan,,17.8034,121.727
Cagayan,,17.8036,121.729
Cagayan,,17.804,121.728
Cagayan,,17.8042,121.728
Cagayan,,17.8043,121.7251
Cagayan,,121.732,121.7251
Cagayan,,17.8044,121.726
Cagayan,,17.8046,121.728
Cagayan,,17.8049,121.598
Cagayan,,121.728,121.598
Cagayan,,17.805,121.601
Cagayan,,17.8051,121.602
Cagayan,,17.8053,121.727
Cagayan,,121.73,121.727
Cagayan,,121.733,121.727
Cagayan,,17.8055,121.598
Cagayan,,121.727,121.598
Cagayan,,121.73,121.598
Cagayan,,17.8056,121.6
Cagayan,,17.8057,121.597
Cagayan,,121.599,121.597
Cagayan,,121.601,121.597
Cagayan,,121.727,121.597
Cagayan,,121.729,121.597
Cagayan,,121.73,121.597
Cagayan,,17.8058,121.599
Cagayan,,17.8059,121.727
Cagayan,,121.73,121.727
Cagayan,,17.806,121.728
Cagayan,,121.729,121.728
Cagayan,,17.8061,121.6
Cagayan,,121.601,121.6
Cagayan,,121.732,121.6
Cagayan,,17.8064,121.602
Cagayan,,121.732,121.602
Cagayan,,17.8065,121.728
Cagayan,,17.8067,121.596
Cagayan,,121.6,121.596
Cagayan,,121.728,121.596
Cagayan,,17.8068,121.597
Cagayan,,17.8069,121.728
Cagayan,,121.732,121.728
Cagayan,,17.8072,121.596
Cagayan,,17.8073,121.599
Cagayan,,121.603,121.599
Cagayan,,121.731,121.599
Cagayan,,17.8075,121.599
Cagayan,,121.732,121.599
