Sum(dbSoilAnaliysis.Area),dbSoilAnaliysis.Province,dbSoilAnaliysis.DISTRICT,dbSoilAnaliysis.Municipality
136645.72000000018,,,
,Cagayan,,
88340.440000000177,Cagayan,,
,Cagayan,D1,
34597.729999999981,Cagayan,D1,
,Cagayan,D2,
17783.159999999996,Cagayan,D2,
,Cagayan,D3,
35959.550000000017,Cagayan,D3,
,Isabela,,
23340.379999999997,Isabela,,
,Isabela,D1,
7538.9699999999975,Isabela,D1,
,Isabela,D2,
3133.5999999999995,Isabela,D2,
,Isabela,D3,
1603.3599999999992,Isabela,D3,
,Isabela,D4,
3287.8799999999983,Isabela,D4,
,Isabela,D5,
2814.2699999999995,Isabela,D5,
,Isabela,D6,
4962.3000000000011,Isabela,D6,
,Nueva Vizcaya,,
7637.7999999999856,Nueva Vizcaya,,
,Nueva Vizcaya,Lone District,
7637.7999999999856,Nueva Vizcaya,Lone District,
2,Nueva Vizcaya,Lone District,Ambaguio
334,Nueva Vizcaya,Lone District,Aritao
1295,Nueva Vizcaya,Lone District,Bagabag
651.76000000000045,Nueva Vizcaya,Lone District,Bambang
654.79,Nueva Vizcaya,Lone District,Bayombong
1607.8400000000001,Nueva Vizcaya,Lone District,Diadi
112.42000000000002,Nueva Vizcaya,Lone District,Dupax del Norte
152.95000000000002,Nueva Vizcaya,Lone District,Dupax Del Sur
112,Nueva Vizcaya,Lone District,Kasibu
21.23,Nueva Vizcaya,Lone District,Kayapa
836,Nueva Vizcaya,Lone District,Quezon
968.30999999999983,Nueva Vizcaya,Lone District,Solano
14,Nueva Vizcaya,Lone District,Sta. Fe
875.49999999999989,Nueva Vizcaya,Lone District,Villaverde
,Quirino,,
17327.100000000006,Quirino,,
,Quirino,Lone District,
17327.100000000006,Quirino,Lone District,
3785.5600000000009,Quirino,Lone District,Aglipay
1076.2700000000002,Quirino,Lone District,Cabarroguis
2124.5200000000004,Quirino,Lone District,Diffun
4942.1600000000026,Quirino,Lone District,Maddela
5159.4200000000028,Quirino,Lone District,Nagtipunan
239.17000000000007,Quirino,Lone District,Saguday
