province,municipality,cropname,rsba_crop_record_count,rsba_crop_area_ha
BATANES,BASCO Capital,Ampalaya,33,0.31
BATANES,BASCO Capital,Banana,24,0.99
BATANES,BASCO Capital,Beans - dry,6,0.13
BATANES,BASCO Capital,Bellpepper (Green/Red),41,0.37
BATANES,BASCO Capital,Broccoli,4,0.07
BATANES,BASCO Capital,Buffaloes (Carabaos),84,0
BATANES,BASCO Capital,Bush Sitao,3,0.02
BATANES,BASCO Capital,Cabbage (repolyo),24,0.35
BATANES,BASCO Capital,Camote,169,10.92
BATANES,BASCO Capital,Camote tops (talbos ng kamote),5,0.18
BATANES,BASCO Capital,Cantaloupes- honey dew and other melon varieties,1,0
BATANES,BASCO Capital,Carrot,21,0.17
BATANES,BASCO Capital,Cassava (kamoteng kahoy),33,5.06
BATANES,BASCO Capital,Cattle,201,0
BATANES,BASCO Capital,Chayote,1,0
BATANES,BASCO Capital,Chickens,140,0
BATANES,BASCO Capital,Chili (labuyo),8,0.05
BATANES,BASCO Capital,Coconut,3,0.02
BATANES,BASCO Capital,Common beans (habitchuelas),1,0
BATANES,BASCO Capital,Common gourd (upo),12,0.13
BATANES,BASCO Capital,Corn,82,18.21
BATANES,BASCO Capital,crops for seed and seedling,1,0.08
BATANES,BASCO Capital,Cucumber (pipino),3,0.15
BATANES,BASCO Capital,Ducks,6,0
BATANES,BASCO Capital,Eggplant (talong),97,1.59
BATANES,BASCO Capital,Foxtail Millet,1,0.04
BATANES,BASCO Capital,Gabi tubers,39,2.04
BATANES,BASCO Capital,Garlic (bawang),17,1.83
BATANES,BASCO Capital,Ginger (luya),17,0.19
BATANES,BASCO Capital,Goats,24,0
BATANES,BASCO Capital,Green Beans (Baguio Beans),3,0.02
BATANES,BASCO Capital,Kalamansi,2,0.01
BATANES,BASCO Capital,Kangkong,14,0.15
BATANES,BASCO Capital,Lemon,1,0.01
BATANES,BASCO Capital,Lettuce,1,0
BATANES,BASCO Capital,Lime (Calamansi),7,0.18
BATANES,BASCO Capital,Lime (dayap),1,0.01
BATANES,BASCO Capital,Long Chili,1,0
BATANES,BASCO Capital,Mango,2,0.01
BATANES,BASCO Capital,Mongo (Mung Bean),12,0.29
BATANES,BASCO Capital,Mustard,2,0.01
BATANES,BASCO Capital,Okra,50,0.57
BATANES,BASCO Capital,Onion bulbs (sibuyas),27,0.81
BATANES,BASCO Capital,Onion shoot,2,0.04
BATANES,BASCO Capital,Other Cereals,1,0.01
BATANES,BASCO Capital,Other crops for fiber production,14,2.16
BATANES,BASCO Capital,Other fruit-bearing trees and vines,1,0.04
BATANES,BASCO Capital,Other fruit-bearing vegetables,194,53.33
BATANES,BASCO Capital,Other leafy vegetables,144,26.9
BATANES,BASCO Capital,Other poultry,5,0
BATANES,BASCO Capital,Other tubers - roots and bulbs,48,2.61
BATANES,BASCO Capital,Papaya,2,0.01
BATANES,BASCO Capital,Patola,15,0.1
BATANES,BASCO Capital,Peanuts,5,0.04
BATANES,BASCO Capital,Pechay,45,0.58
BATANES,BASCO Capital,Pepper - small green,3,0.1
BATANES,BASCO Capital,Pepper - sweet,18,0.17
BATANES,BASCO Capital,Pigs or swine,276,0
BATANES,BASCO Capital,Pineapple,12,0.3
BATANES,BASCO Capital,Pomelo (suha),1,0
BATANES,BASCO Capital,Potato (patatas),15,1.58
BATANES,BASCO Capital,Rice/Palay,18,2.14
BATANES,BASCO Capital,Squash (kalabasa),46,0.83
BATANES,BASCO Capital,String beans - harvested green (sitao),46,0.48
BATANES,BASCO Capital,Sweet peas - harvested green (sitsaro),1,0
BATANES,BASCO Capital,Taro,22,1.16
BATANES,BASCO Capital,Tomato (kamatis),25,0.24
BATANES,BASCO Capital,Tugi,16,0.3
BATANES,BASCO Capital,Turnip (sinkamas),1,0.06
BATANES,BASCO Capital,Ube,56,1.54
BATANES,BASCO Capital,Water melon,24,1.75
BATANES,BASCO Capital,Winged Bean (pallang),3,0.01
BATANES,BASCO Capital,Yam,7,0.18
BATANES,ITBAYAT,Ampalaya,1,0.03
BATANES,ITBAYAT,Arrowroot,1,0.2
BATANES,ITBAYAT,Banana,29,2.28
BATANES,ITBAYAT,Beans - dry,1,0.07
BATANES,ITBAYAT,Bellpepper (Green/Red),2,0.2
BATANES,ITBAYAT,Buffaloes (Carabaos),165,0
BATANES,ITBAYAT,Bush Sitao,1,0.01
BATANES,ITBAYAT,Cabbage (repolyo),2,0.28
BATANES,ITBAYAT,Camote,161,31.55
BATANES,ITBAYAT,Camote tops (talbos ng kamote),4,0.64
BATANES,ITBAYAT,Cantaloupes- honey dew and other melon varieties,2,0.07
BATANES,ITBAYAT,Cassava (kamoteng kahoy),35,3.22
BATANES,ITBAYAT,Cattle,237,0
BATANES,ITBAYAT,Chickens,142,0
BATANES,ITBAYAT,Coconut,17,3.59
BATANES,ITBAYAT,Corn,392,90.8
BATANES,ITBAYAT,Ducks,12,0
BATANES,ITBAYAT,Eggplant (talong),12,0.42
BATANES,ITBAYAT,"Forage grass (sacate, alfalfa, green corn stalk)",2,1.37
BATANES,ITBAYAT,Gabi tubers,17,0.95
BATANES,ITBAYAT,Garlic (bawang),186,63.91
BATANES,ITBAYAT,"Garlic shoot, harvested green",4,0.35
BATANES,ITBAYAT,Ginger (luya),7,0.41
BATANES,ITBAYAT,Goats,107,0
BATANES,ITBAYAT,Green corn,1,0.18
BATANES,ITBAYAT,Horses,29,0
BATANES,ITBAYAT,Kangkong,1,0.01
BATANES,ITBAYAT,Lime (Calamansi),4,0.37
BATANES,ITBAYAT,Mango,1,0.01
BATANES,ITBAYAT,Mongo (Mung Bean),6,0.78
BATANES,ITBAYAT,Okra,2,0.01
BATANES,ITBAYAT,Onion bulbs (sibuyas),131,19.66
BATANES,ITBAYAT,Onion shoot,1,0.01
BATANES,ITBAYAT,Orange (dalandan),1,0.13
BATANES,ITBAYAT,Other Cereals,7,1.16
BATANES,ITBAYAT,Other crops for fiber production,2,1.46
BATANES,ITBAYAT,Other fruit-bearing trees and vines,3,0.14
BATANES,ITBAYAT,Other fruit-bearing vegetables,211,39.16
BATANES,ITBAYAT,Other leafy vegetables,68,13.55
BATANES,ITBAYAT,Other leguminous plants,40,4.06
BATANES,ITBAYAT,Other poultry,1,0
BATANES,ITBAYAT,Other tubers - roots and bulbs,124,12.88
BATANES,ITBAYAT,Papaya,1,0.03
BATANES,ITBAYAT,Patola,3,0.03
BATANES,ITBAYAT,Peanuts,35,5.8
BATANES,ITBAYAT,Pechay,4,0.02
BATANES,ITBAYAT,Pepper - small green,2,0.03
BATANES,ITBAYAT,Pepper - sweet,3,0.22
BATANES,ITBAYAT,Pigs or swine,303,0
BATANES,ITBAYAT,Pineapple,62,5.35
BATANES,ITBAYAT,Potato (patatas),65,6.02
BATANES,ITBAYAT,Rice/Palay,294,79.43
BATANES,ITBAYAT,Sheep,8,0
BATANES,ITBAYAT,Spinach,1,0
BATANES,ITBAYAT,Squash (kalabasa),3,0.09
BATANES,ITBAYAT,String beans - harvested green (sitao),2,0.03
BATANES,ITBAYAT,Sugarcane,4,0.46
BATANES,ITBAYAT,Tiger Grass,1,0.1
BATANES,ITBAYAT,Tomato (kamatis),2,0.03
BATANES,ITBAYAT,Tugi,30,8.15
BATANES,ITBAYAT,Ube,35,4.59
BATANES,ITBAYAT,Water melon,13,0.63
BATANES,ITBAYAT,Yam,4,0.14
BATANES,IVANA,Ampalaya,7,0.71
BATANES,IVANA,Avocado,4,0.02
BATANES,IVANA,Banana,44,5.86
BATANES,IVANA,Beans - dry,3,3.08
BATANES,IVANA,Bellpepper (Green/Red),4,1.13
BATANES,IVANA,Buffaloes (Carabaos),55,0
BATANES,IVANA,Cabbage (repolyo),13,7.75
BATANES,IVANA,Camote,73,13.74
BATANES,IVANA,Carrot,9,11.79
BATANES,IVANA,Cassava (kamoteng kahoy),1,0
BATANES,IVANA,Cattle,112,0
BATANES,IVANA,Chickens,67,0
BATANES,IVANA,Chili (labuyo),1,0
BATANES,IVANA,Coconut,16,3.34
BATANES,IVANA,Coffee - other varieties,1,0
BATANES,IVANA,Corn,16,3.01
BATANES,IVANA,Ducks,4,0
BATANES,IVANA,Eggplant (talong),29,13.08
BATANES,IVANA,Fern,1,0.01
BATANES,IVANA,Gabi tubers,8,2.11
BATANES,IVANA,Garlic (bawang),38,7.3
BATANES,IVANA,Ginger (luya),12,5.07
BATANES,IVANA,Goats,44,0
BATANES,IVANA,Green Beans (Baguio Beans),1,3
BATANES,IVANA,Guyabano,1,0.01
BATANES,IVANA,Jackfruit,1,0.01
BATANES,IVANA,Kalamansi,6,0.38
BATANES,IVANA,Kangkong,1,4
BATANES,IVANA,Lemon,4,0.07
BATANES,IVANA,Lime (Calamansi),11,5.12
BATANES,IVANA,Mango,5,0.18
BATANES,IVANA,Mongo (Mung Bean),1,0.09
BATANES,IVANA,Okra,5,1.12
BATANES,IVANA,Onion bulbs (sibuyas),16,3.89
BATANES,IVANA,Orange (dalandan),1,0.01
BATANES,IVANA,Other Fish,1,0.01
BATANES,IVANA,Other fruit-bearing trees and vines,11,0.16
BATANES,IVANA,Other fruit-bearing vegetables,154,4.9
BATANES,IVANA,Other leafy vegetables,86,7.8
BATANES,IVANA,Other leguminous plants,1,0
BATANES,IVANA,Other poultry,1,0
BATANES,IVANA,Other tubers - roots and bulbs,79,6.04
BATANES,IVANA,Peanuts,2,0.01
BATANES,IVANA,Pechay,31,20.29
BATANES,IVANA,Pigs or swine,196,0
BATANES,IVANA,Pineapple,10,1.52
BATANES,IVANA,Pomelo (suha),4,0.07
BATANES,IVANA,Potato (patatas),17,0.43
BATANES,IVANA,Radish (labanos),1,3
BATANES,IVANA,Rice/Palay,1,1
BATANES,IVANA,Spinach,1,0.01
BATANES,IVANA,Squash (kalabasa),11,12.78
BATANES,IVANA,String beans - harvested green (sitao),4,1.2
BATANES,IVANA,Sweet peas - harvested green (sitsaro),3,0.05
BATANES,IVANA,Tomato (kamatis),12,2.67
BATANES,IVANA,Tugi,13,10.52
BATANES,IVANA,Turkeys,1,0
BATANES,IVANA,Ube,24,3.04
BATANES,IVANA,Water melon,1,0.05
BATANES,IVANA,Yam,10,0.24
BATANES,MAHATAO,Ampalaya,1,0.6
BATANES,MAHATAO,Beans - dry,1,0.01
BATANES,MAHATAO,Buffaloes (Carabaos),77,0
BATANES,MAHATAO,Cabbage (repolyo),3,0.03
BATANES,MAHATAO,Camote,23,23.83
BATANES,MAHATAO,Carrot,1,0.02
BATANES,MAHATAO,Cassava (kamoteng kahoy),1,0.02
BATANES,MAHATAO,Cattle,122,0
BATANES,MAHATAO,Chickens,32,0
BATANES,MAHATAO,Corn,6,0.25
BATANES,MAHATAO,Eggplant (talong),1,0.01
BATANES,MAHATAO,Gabi tubers,4,1.8
BATANES,MAHATAO,Garlic (bawang),6,0.24
BATANES,MAHATAO,Ginger (luya),1,0.02
BATANES,MAHATAO,Goats,18,0
BATANES,MAHATAO,Mongo (Mung Bean),5,0.27
BATANES,MAHATAO,Onion bulbs (sibuyas),7,0.26
BATANES,MAHATAO,Other crops for fiber production,29,18.36
BATANES,MAHATAO,Other fruit-bearing vegetables,130,21.6
BATANES,MAHATAO,Other industrial crops,1,0.05
BATANES,MAHATAO,Other leafy vegetables,89,7.21
BATANES,MAHATAO,Other tubers - roots and bulbs,120,8.59
BATANES,MAHATAO,Pechay,2,0.01
BATANES,MAHATAO,Pigs or swine,126,0
BATANES,MAHATAO,Pineapple,1,0.02
BATANES,MAHATAO,Potato (patatas),23,0.84
BATANES,MAHATAO,Rice/Palay,2,0.11
BATANES,MAHATAO,Squash (kalabasa),1,0.02
BATANES,MAHATAO,String beans - harvested green (sitao),1,0.04
BATANES,MAHATAO,Tilapia,1,0.13
BATANES,MAHATAO,Tomato (kamatis),1,0.01
BATANES,MAHATAO,Tugi,7,2.89
BATANES,MAHATAO,Ube,21,22.74
BATANES,MAHATAO,Water melon,4,0.13
BATANES,SABTANG,Ampalaya,4,0.1
BATANES,SABTANG,Arrowroot,1,0.05
BATANES,SABTANG,Banana,21,9.64
BATANES,SABTANG,Beans - dry,2,0.23
BATANES,SABTANG,Buffaloes (Carabaos),20,0
BATANES,SABTANG,Bush Sitao,6,0.16
BATANES,SABTANG,Cabbage (repolyo),4,0.25
BATANES,SABTANG,Camote,63,3.43
BATANES,SABTANG,Carrot,2,0.08
BATANES,SABTANG,Cassava (kamoteng kahoy),3,0.1
BATANES,SABTANG,Cattle,102,0
BATANES,SABTANG,Chickens,41,0
BATANES,SABTANG,Chili (labuyo),7,0.25
BATANES,SABTANG,Coconut,4,0.65
BATANES,SABTANG,Common gourd (upo),2,0.01
BATANES,SABTANG,Corn,70,8.66
BATANES,SABTANG,crops for seed and seedling,7,1.18
BATANES,SABTANG,Dragon Fruit,2,0.42
BATANES,SABTANG,Ducks,2,0
BATANES,SABTANG,Eggplant (talong),17,0.7
BATANES,SABTANG,Gabi tubers,8,0.94
BATANES,SABTANG,Garlic (bawang),28,2.61
BATANES,SABTANG,Ginger (luya),4,0.58
BATANES,SABTANG,Goats,48,0
BATANES,SABTANG,Green corn,1,0.03
BATANES,SABTANG,Kangkong,1,0.13
BATANES,SABTANG,Lime (Calamansi),3,0.15
BATANES,SABTANG,Mango,2,0.05
BATANES,SABTANG,Mongo (Mung Bean),2,0.05
BATANES,SABTANG,Okra,5,0.2
BATANES,SABTANG,Onion bulbs (sibuyas),7,0.24
BATANES,SABTANG,Orange (dalandan),1,0.05
BATANES,SABTANG,Other crops for fiber production,2,0.42
BATANES,SABTANG,Other fruit-bearing trees and vines,4,0.86
BATANES,SABTANG,Other fruit-bearing vegetables,227,41.78
BATANES,SABTANG,Other industrial crops,1,1
BATANES,SABTANG,Other leafy vegetables,93,6.72
BATANES,SABTANG,Other tubers - roots and bulbs,74,8.48
BATANES,SABTANG,Peanuts,2,0.04
BATANES,SABTANG,Pechay,7,0.39
BATANES,SABTANG,Pigs or swine,72,0
BATANES,SABTANG,Pineapple,7,0.35
BATANES,SABTANG,Pomelo (suha),2,0.06
BATANES,SABTANG,Potato (patatas),37,2.81
BATANES,SABTANG,Squash (kalabasa),8,0.17
BATANES,SABTANG,String beans - harvested green (sitao),1,0.01
BATANES,SABTANG,Taro,1,0.03
BATANES,SABTANG,Tomato (kamatis),6,0.27
BATANES,SABTANG,Tugi,21,1.19
BATANES,SABTANG,Ube,45,1.89
BATANES,SABTANG,Water melon,5,0.25
BATANES,SABTANG,Wax gourd (kondol),1,0.02
BATANES,SABTANG,Yam,14,0.44
BATANES,UYUGAN,Avocado,1,0.05
BATANES,UYUGAN,Banana,12,0.46
BATANES,UYUGAN,Bellpepper (Green/Red),1,0.06
BATANES,UYUGAN,Buffaloes (Carabaos),44,0
BATANES,UYUGAN,Cabbage (repolyo),1,0.06
BATANES,UYUGAN,Camote,66,7.37
BATANES,UYUGAN,Camote tops (talbos ng kamote),1,0.04
BATANES,UYUGAN,Cassava (kamoteng kahoy),8,0.14
BATANES,UYUGAN,Cattle,92,0
BATANES,UYUGAN,Chickens,53,0
BATANES,UYUGAN,Coconut,4,0.2
BATANES,UYUGAN,Corn,17,3.5
BATANES,UYUGAN,Ducks,2,0
BATANES,UYUGAN,Eggplant (talong),5,0.13
BATANES,UYUGAN,Gabi tubers,8,0.1
BATANES,UYUGAN,Garlic (bawang),47,3.69
BATANES,UYUGAN,Ginger (luya),7,0.11
BATANES,UYUGAN,Goats,45,0
BATANES,UYUGAN,Mongo (Mung Bean),1,0.02
BATANES,UYUGAN,Okra,1,0.09
BATANES,UYUGAN,Onion bulbs (sibuyas),15,0.69
BATANES,UYUGAN,Other animals (e.g.,1,0
BATANES,UYUGAN,Other fruit-bearing trees and vines,1,0.04
BATANES,UYUGAN,Other fruit-bearing vegetables,190,19.01
BATANES,UYUGAN,Other industrial crops,2,0.1
BATANES,UYUGAN,Other leafy vegetables,153,16.76
BATANES,UYUGAN,Other tubers - roots and bulbs,76,6.29
BATANES,UYUGAN,Pechay,1,0
BATANES,UYUGAN,Pigs or swine,115,0
BATANES,UYUGAN,Pineapple,4,0.2
BATANES,UYUGAN,Potato (patatas),4,0.14
BATANES,UYUGAN,Rice/Palay,1,0.05
BATANES,UYUGAN,Sheep,2,0
BATANES,UYUGAN,Squash (kalabasa),1,0.01
BATANES,UYUGAN,Sugarcane,3,1.9
BATANES,UYUGAN,Tomato (kamatis),2,0.01
BATANES,UYUGAN,Tugi,9,1.04
BATANES,UYUGAN,Ube,34,6.69
BATANES,UYUGAN,Water melon,3,0.1
BATANES,UYUGAN,Yam,2,0.02
CAGAYAN,ABULUG,Ampalaya,2,2.16
CAGAYAN,ABULUG,Avocado,3,1.18
CAGAYAN,ABULUG,Banana,29,17.94
CAGAYAN,ABULUG,Beans - dry,2,0.5
CAGAYAN,ABULUG,Betel Nut (Nga-nga),1,0.13
CAGAYAN,ABULUG,Black pepper,1,0.25
CAGAYAN,ABULUG,Buffaloes (Carabaos),223,0
CAGAYAN,ABULUG,Bush Sitao,1,0.25
CAGAYAN,ABULUG,Cacao,5,8.26
CAGAYAN,ABULUG,Cassava (kamoteng kahoy),1,0.25
CAGAYAN,ABULUG,Cattle,341,0
CAGAYAN,ABULUG,Chickens,726,0
CAGAYAN,ABULUG,Coconut,217,229.17
CAGAYAN,ABULUG,Coffee - other varieties,1,1.02
CAGAYAN,ABULUG,Common gourd (upo),1,0.25
CAGAYAN,ABULUG,Corn,1212,1875.17
CAGAYAN,ABULUG,crops for seed and seedling,3,1.3
CAGAYAN,ABULUG,Dogs and cats,4,0
CAGAYAN,ABULUG,Dragon Fruit,2,1.22
CAGAYAN,ABULUG,Ducks,326,0
CAGAYAN,ABULUG,Eggplant (talong),5,1.68
CAGAYAN,ABULUG,Geese,11,0
CAGAYAN,ABULUG,Gmelina Arborea,2,0.95
CAGAYAN,ABULUG,Goats,77,0
CAGAYAN,ABULUG,Guyabano,1,0.25
CAGAYAN,ABULUG,Hito/Catfish,4,1.16
CAGAYAN,ABULUG,Kalamansi,9,7.55
CAGAYAN,ABULUG,Lime (Calamansi),4,0.97
CAGAYAN,ABULUG,Mandarin (dalanghita),16,15.8
CAGAYAN,ABULUG,Mango,1,0.25
CAGAYAN,ABULUG,Mushroom,1,0.03
CAGAYAN,ABULUG,Okra,1,0.16
CAGAYAN,ABULUG,Orange (dalandan),1,0.69
CAGAYAN,ABULUG,Other Fish,6,0.97
CAGAYAN,ABULUG,Other fruit-bearing trees and vines,16,20.49
CAGAYAN,ABULUG,Other fruit-bearing vegetables,50,29.39
CAGAYAN,ABULUG,Other leafy vegetables,27,12.04
CAGAYAN,ABULUG,Other poultry,2,0
CAGAYAN,ABULUG,Pigeons,2,0
CAGAYAN,ABULUG,Pigs or swine,481,0
CAGAYAN,ABULUG,Pineapple,3,2.5
CAGAYAN,ABULUG,Pomelo (suha),1,0.4
CAGAYAN,ABULUG,Potato (patatas),1,0.1
CAGAYAN,ABULUG,Rambutan,5,2.84
CAGAYAN,ABULUG,Rice/Palay,4336,7343.84
CAGAYAN,ABULUG,Sheep,12,0
CAGAYAN,ABULUG,Squash (kalabasa),5,2.32
CAGAYAN,ABULUG,Tilapia,5,2.4
CAGAYAN,ABULUG,Turkeys,27,0
CAGAYAN,ALCALA,Ampalaya,1,0.17
CAGAYAN,ALCALA,Banana,2,1.35
CAGAYAN,ALCALA,Beans - dry,1,0.12
CAGAYAN,ALCALA,Bellpepper (Green/Red),1,0.25
CAGAYAN,ALCALA,Buffaloes (Carabaos),115,0
CAGAYAN,ALCALA,Cassava (kamoteng kahoy),1,0.5
CAGAYAN,ALCALA,Cattle,13,0
CAGAYAN,ALCALA,Chickens,96,0
CAGAYAN,ALCALA,Coconut,1,0.53
CAGAYAN,ALCALA,Corn,4274,5516.44
CAGAYAN,ALCALA,Ducks,53,0
CAGAYAN,ALCALA,Eggplant (talong),13,4.38
CAGAYAN,ALCALA,"Forage grass (sacate, alfalfa, green corn stalk)",1,0.5
CAGAYAN,ALCALA,Geese,7,0
CAGAYAN,ALCALA,Goats,47,0
CAGAYAN,ALCALA,Mahogany,1,0
CAGAYAN,ALCALA,Mango,4,2.62
CAGAYAN,ALCALA,Other crops for fiber production,1,0.1
