province,municipality,district,rsba_registry_count,rsba_crop_area_ha,rsba_avg_age,rsba_latitude,rsba_longitude,rsba_rice_count,rsba_rice_area_ha,rsba_corn_count,rsba_corn_area_ha,rsba_hvc_count,rsba_hvc_area_ha,rsba_top_crop,rsba_top_crop_count,rsba_male_count,rsba_female_count,rsba_female_pct,rsba_youth_count,rsba_youth_pct,rsba_millennial_count,rsba_senior_count,rsba_farmer_count,rsba_farmworker_count,rsba_fisherfolk_count,rsba_ip_count,rsba_pwd_count,rsba_4ps_count,rsba_fca_count,rsba_fca_pct,rsba_agriyouth_count,rsba_arb_count,rsba_organic_count,rsba_with_imc_count,rsba_imc_pct,rsba_rice_share_pct,rsba_corn_share_pct,rsba_fca_gap_pct,rsba_imc_gap_pct
BATANES,BASCO Capital,LONE,1278,141.62,54.2,20.463400000000348,122.00420000000375,18,2.14,82,18.21,2190,121.28,Pigs or swine,276,853,425,33.3,72,5.6,359,330,668,221,638,911,20,18,153,12,8,34,532,11,0.9,1.4,6.4,88,99
BATANES,ITBAYAT,LONE,1037,405.06,56.6,20.787777999999449,121.84138900000431,294,79.43,392,90.8,2361,234.83,Corn,392,700,337,32.5,22,2.1,269,368,620,100,463,884,13,24,177,17.1,0,276,453,204,19.7,28.4,37.8,82.9,80.3
BATANES,IVANA,LONE,647,171.66,55.1,20.378100000000813,121.93020000000169,1,1,16,3,1273,167.65,Pigs or swine,196,399,248,38.3,46,7,177,204,370,41,295,469,4,4,216,33.4,5,6,281,0,0,0.2,2.5,66.6,100
BATANES,MAHATAO,LONE,566,110.1,56.5,20.405200000000079,121.95299999999817,2,0.11,6,0.25,860,109.74,Other fruit-bearing vegetables,130,409,157,27.7,28,4.9,149,203,285,78,288,384,9,0,65,11.5,2,166,172,0,0,0.4,1.1,88.5,100
BATANES,SABTANG,LONE,1018,98.11,55.8,20.334999999999358,121.87194400000391,0,0,70,8.66,1050,89.46,Other fruit-bearing vegetables,227,638,380,37.3,74,7.3,273,341,493,178,521,764,19,23,32,3.1,13,93,345,0,0,0,6.9,96.9,100
BATANES,UYUGAN,LONE,771,69.06,52.7,20.373400000000295,121.95300000000044,1,0.05,17,3.5,1017,65.51,Other fruit-bearing vegetables,190,450,321,41.6,145,18.8,162,170,423,24,348,572,16,7,150,19.5,42,173,258,0,0,0.1,2.2,80.5,100
CAGAYAN,ABULUG,2ND,10509,9585.84,52.9,18.443610999996832,121.45722199999788,4336,7343.84,1212,1875.17,2665,366.82,Rice/Palay,4336,6321,4188,39.9,447,4.3,2986,3044,5549,3121,3398,332,85,707,1071,10.2,0,4521,25,2926,27.8,41.3,11.5,89.8,72.2
CAGAYAN,ALCALA,1ST,9857,10342.98,52.9,17.902499999997364,121.65666699997847,4900,4772.11,4274,5516.44,567,54.43,Rice/Palay,4900,5731,4126,41.9,397,4,2757,3067,6440,3110,1179,7,62,681,907,9.2,74,3145,29,4120,41.8,49.7,43.4,90.8,58.2
CAGAYAN,ALLACAPAN,2ND,9234,12030.18,52,18.225832999999717,121.55444399995261,4570,8908.35,1128,1573.69,6185,1548.15,Rice/Palay,4570,5258,3976,43.1,589,6.4,3007,2338,4910,4791,723,230,99,691,581,6.3,25,5037,47,2936,31.8,49.5,12.2,93.7,68.2
CAGAYAN,AMULUNG,3RD,13278,17314.35,51.7,17.837222000001461,121.72333299997928,5164,8054.01,5451,9226.55,378,33.79,Corn,5451,8721,4557,34.3,432,3.3,4292,3779,7894,4474,2393,178,187,1071,536,4,0,5023,49,3831,28.9,38.9,41.1,96,71
CAGAYAN,APARRI,1ST,15227,9757.3,51.9,18.35722200000167,121.63722199997304,5607,9357.9,228,266.41,2382,132.99,Rice/Palay,5607,10143,5084,33.4,524,3.4,4747,4251,5743,4023,8197,2443,170,1537,1615,10.6,0,6123,94,3868,25.4,36.8,1.5,89.4,74.6
CAGAYAN,BAGGAO,1ST,15408,30995.9,51.8,18.27111099999216,121.68000000004574,9149,10511.29,10960,20264.93,13802,219.68,Corn,10960,10933,4475,29,660,4.3,4998,4190,13682,6893,1624,106,209,1186,1812,11.8,13,1790,71,7320,47.5,59.4,71,88.2,52.5
CAGAYAN,BALLESTEROS,2ND,8355,6936.9,53.6,18.410000000002587,121.51527799999114,3237,6139.97,31,33.98,3040,762.96,Rice/Palay,3237,5184,3171,38,206,2.5,2357,2682,4109,2730,2448,21,53,627,417,5,0,2997,236,2231,26.7,38.7,0.4,95,73.3
CAGAYAN,BUGUEY,1ST,8645,6869.57,52,18.286388999996486,121.8347220000168,3450,5412.56,668,1274.02,970,182.99,Rice/Palay,3450,5409,3236,37.4,315,3.6,2660,2462,3645,2359,3475,41,71,562,980,11.3,0,3073,11,2397,27.7,39.9,7.7,88.7,72.3
CAGAYAN,CALAYAN,2ND,4490,2827.29,49.4,19.261943999998611,121.47583300000352,1733,991.79,1050,820.38,4598,1015.12,Rice/Palay,1733,3359,1131,25.2,131,2.9,1631,972,2636,796,2079,125,61,660,381,8.5,0,740,119,1462,32.6,38.6,23.4,91.5,67.4
CAGAYAN,CAMALANIUGAN,1ST,5425,5492.37,51.4,18.274999999998148,121.67444400000319,2838,5106.22,230,356.07,491,30.08,Rice/Palay,2838,3654,1771,32.6,380,7,1593,1614,2912,2542,661,218,101,402,1009,18.6,0,2880,42,1858,34.2,52.3,4.2,81.4,65.8
CAGAYAN,CLAVERIA,2ND,9742,4056.27,51,18.608888999997408,121.08388899997223,3515,3820.91,19,17.98,1989,217.38,Rice/Palay,3515,6473,3269,33.6,1048,10.8,2525,2789,4442,2452,3713,42,95,401,2694,27.7,109,3036,39,2449,25.1,36.1,0.2,72.3,74.9
CAGAYAN,ENRILE,3RD,6349,7681.19,53.6,17.560832999998311,121.68944400001151,2743,4901.95,1963,2614.73,1067,164.5,Rice/Palay,2743,4011,2338,36.8,288,4.5,1782,1974,3582,2521,711,249,49,441,82,1.3,54,2719,9,1718,27.1,43.2,30.9,98.7,72.9
CAGAYAN,GATTARAN,1ST,14317,18254.22,52.6,18.061388999998247,121.64333299997251,6826,8160.8,5776,9589.06,1171,504.36,Rice/Palay,6826,8778,5539,38.7,751,5.2,4114,4334,9357,4897,1836,261,205,941,1365,9.5,0,4619,127,5380,37.6,47.7,40.3,90.5,62.4
CAGAYAN,GONZAGA,1ST,9524,11013.64,51.7,18.25944400000219,121.99361100001086,4287,5372.93,2604,5466.98,6214,173.72,Rice/Palay,4287,6263,3261,34.2,306,3.2,2776,2569,5244,3720,3070,419,69,829,2488,26.1,0,3246,256,3130,32.9,45,27.3,73.9,67
CAGAYAN,IGUIG,3RD,4404,4597.87,53,17.752500000001387,121.73805599998313,1855,1899,1520,2638.34,785,54.65,Rice/Palay,1855,2797,1607,36.5,294,6.7,1140,1417,2647,1076,832,581,33,435,247,5.6,55,906,22,1589,36.1,42.1,34.5,94.4,63.9
CAGAYAN,LAL LO,1ST,11388,13969.68,53,18.201388999996347,121.66083299998063,5010,7354.91,3757,6207.38,2586,407.39,Rice/Palay,5010,6893,4495,39.5,393,3.5,3264,3533,6420,4664,1468,511,451,878,638,5.6,2,5135,48,3562,31.3,44,33,94.4,68.7
CAGAYAN,LASAM,2ND,9726,11582.73,53.9,18.064443999997145,121.60138899997152,4897,7659.39,2297,3358.82,4275,564.53,Rice/Palay,4897,5484,4242,43.6,471,4.8,2564,3079,5542,5025,776,83,101,701,335,3.4,1,4914,78,3752,38.6,50.3,23.6,96.6,61.4
CAGAYAN,PAMPLONA,2ND,7220,6968.02,51.9,18.463611000002988,121.34111100001131,3067,5070.61,778,1120.02,1798,777.38,Rice/Palay,3067,4598,2622,36.3,355,4.9,2058,2021,4238,2414,1972,341,77,681,1640,22.7,0,2311,44,2179,30.2,42.5,10.8,77.3,69.8
CAGAYAN,PEÑABLANCA,3RD,9059,13255.66,52.1,17.62555600000233,121.78527799998896,2060,1785.56,6616,11403.2,6190,66.9,Corn,6616,4805,4254,47,557,6,2869,2512,7327,2022,1057,5065,76,923,607,6.7,0,1502,392,1836,20.3,22.7,73,93.3,79.7
CAGAYAN,PIAT,2ND,3928,7194.73,55.5,17.791667000000807,121.47694399999526,2194,3422.47,2433,3361.79,3947,410.47,Corn,2433,2431,1497,38.1,179,4.6,966,1365,3599,203,195,61,37,192,279,7,0,873,97,1574,40.1,55.9,61.9,92.9,59.9
CAGAYAN,RIZAL,2ND,5090,7493.79,51.4,17.845832999999477,121.34583300001952,1804,1514.8,3547,5245.79,1328,733.2,Corn,3547,2838,2252,44.2,395,7.8,1490,1387,4034,793,638,3546,52,696,286,5.6,0,867,29,1317,25.9,35.4,69.7,94.4,74
CAGAYAN,SANCHEZ MIRA,2ND,5406,3258.71,53.4,18.559166999999579,121.23472199999806,1997,2946.65,75,70.43,629,241.63,Rice/Palay,1997,3478,1928,35.7,193,3.6,1399,1713,2667,1395,1766,171,42,355,1132,20.9,0,2316,12,1279,23.7,36.9,1.4,79,76.3
CAGAYAN,SANTA ANA,1ST,9043,4105.05,45.7,18.457499999998031,122.1424999999951,2527,3617.61,171,233.21,656,254.23,Rice/Palay,2527,5731,3312,36.6,1661,18.4,2755,1649,2691,2166,4039,85,158,1097,1431,15.8,6,4763,62,1742,19.3,27.9,1.9,84.2,80.7
CAGAYAN,SANTA PRAXEDES,2ND,1860,602.11,51.2,18.563055999999577,120.98999999999607,575,421.31,2,2.58,602,178.22,Rice/Palay,575,1167,693,37.3,188,10,519,496,741,904,636,184,18,132,708,38.1,4,722,43,465,25,30.9,0.1,61.9,75
CAGAYAN,SANTA TERESITA,1ST,6447,6493.71,51.5,18.24861099999934,121.9091669999859,2951,3565.8,1784,2797.63,1062,130.28,Rice/Palay,2951,3658,2789,43.3,322,5,2041,1785,3722,1991,1225,31,57,378,1165,18.1,1,2131,140,2108,32.7,45.8,27.7,81.9,67.3
CAGAYAN,SANTO NIÑO FAIRE,2ND,8230,9603.18,51.6,17.883888999995555,121.56916700000731,4070,4756.23,3714,4725.36,4864,121.59,Rice/Palay,4070,4835,3395,41.3,752,9,2520,2138,5442,3441,602,142,53,1178,331,4,0,3230,243,3251,39.5,49.5,45.1,96,60.5
CAGAYAN,SOLANA,3RD,16203,22776.46,51.6,17.65083300000526,121.69083300000048,8986,15135.49,4562,7085.86,4355,554.81,Rice/Palay,8986,10699,5504,34,1104,6.8,4982,4462,11695,4412,494,404,115,1684,1715,10.6,19,6320,87,5994,37,55.5,28.2,89.4,63
CAGAYAN,TUAO,3RD,12028,14732.04,53.4,17.734721999998865,121.45527800003597,7794,10684.29,3038,3619.34,2954,428.41,Rice/Palay,7794,6470,5558,46.2,486,4,3361,3876,9292,2711,825,112,115,747,567,4.7,53,3664,54,5380,44.7,64.8,25.3,95.3,55.3
CAGAYAN,TUGUEGARAO CITY Capital,3RD,3772,5536.99,56.2,17.612500000001976,121.73277799998291,1188,1622.21,2641,3783.44,2523,131.34,Corn,2641,2698,1074,28.5,101,2.7,902,1403,3186,472,319,1292,45,109,850,22.5,4,451,120,839,22.2,31.5,70,77.5,77.8
ISABELA,ALICIA,3RD,10486,8894.02,52.3,16.778889000000493,121.69916699998973,4921,8800.56,38,63.46,108,30,Rice/Palay,4921,6389,4097,39.1,470,4.5,2925,3260,5050,6042,362,226,211,719,1540,14.7,0,5359,48,3400,32.4,46.9,0.4,85.3,67.6
ISABELA,ANGADANAN,3RD,11712,11566.55,51.2,16.756667000003532,121.74805600004021,3986,4777.3,4197,6355.73,1848,433.52,Corn,4197,6795,4917,42,856,7.3,3628,3194,5811,7353,737,3050,140,1426,491,4.2,7,6596,92,2992,25.5,34,35.8,95.8,74.5
ISABELA,AURORA,5TH,9126,5902.6,53.3,16.990556000001597,121.63916700000135,1918,3418.54,1433,2058.84,747,425.22,Rice/Palay,1918,4975,4151,45.5,290,3.2,2495,2813,2979,4639,1697,34,33,254,226,2.5,2,5014,14,1387,15.2,21,15.7,97.5,84.8
ISABELA,BENITO SOLIVEN,2ND,5905,12040.78,50.2,16.984721999995916,121.96138900000692,4110,2905.03,5106,7659.08,3976,1476.66,Corn,5106,3448,2457,41.6,267,4.5,2002,1517,5478,904,378,13,51,732,660,11.2,0,1414,283,3961,67,69.6,86.5,88.8,32.9
ISABELA,BURGOS,5TH,5663,5770.97,52.6,17.068056000000503,121.69361099999591,2326,4957.1,496,756.7,77,57.17,Rice/Palay,2326,3112,2551,45,298,5.3,1558,1759,2521,2667,799,77,50,445,203,3.6,2,2985,109,1487,26.3,41.1,8.8,96.4,73.7
ISABELA,CABAGAN,1ST,7941,9615.32,50.9,17.426389000000189,121.76499999998299,3028,3403.85,4051,6092.61,1909,118.87,Corn,4051,5464,2477,31.2,476,6,2646,2117,5400,3395,674,3070,73,1286,786,9.9,0,2733,199,2520,31.7,38.1,51,90,68.3
ISABELA,CABATUAN,3RD,7495,6570.06,51.3,16.954167000001611,121.66972200001362,4038,5677.78,481,589.1,743,303.19,Rice/Palay,4038,4215,3280,43.8,713,9.5,1904,2270,4521,3140,724,23,78,340,647,8.6,0,3117,21,3153,42.1,53.9,6.4,91.4,57.9
ISABELA,CITY OF CAUAYAN,6TH,16478,23923.4,50.7,16.934166999999562,121.76666700001243,8315,12486.95,6394,10740.34,765,696.12,Rice/Palay,8315,9547,6931,42.1,895,5.4,5212,4558,11572,5121,1478,399,204,708,1548,9.4,1,5384,67,6573,39.9,50.5,38.8,90.6,60.1
ISABELA,CITY OF SANTIAGO,4TH,9534,9865.36,54.2,16.6875,121.54472199999043,5399,9137.99,304,429.16,1283,298.21,Rice/Palay,5399,4852,4682,49.1,355,3.7,2268,3237,5592,4364,582,439,150,427,2923,30.7,0,4622,37,3598,37.7,56.6,3.2,69.3,62.3
ISABELA,CORDON,4TH,8689,10080.94,51.2,16.673888999998269,121.46611099998159,4184,5299.09,2870,4114.23,4957,667.63,Rice/Palay,4184,4605,4084,47,418,4.8,2692,2372,6000,3109,1389,1504,93,835,1463,16.8,1,2898,36,3337,38.4,48.2,33,83.2,61.6
ISABELA,DELFIN ALBANO MAGSAYSAY,1ST,7016,11642.52,51.2,17.304443999998213,121.44555599999302,3891,8723.93,1530,2855.23,200,63.36,Rice/Palay,3891,4240,2776,39.6,506,7.2,1964,2008,4461,2226,486,48,90,607,821,11.7,0,3240,36,2331,33.2,55.5,21.8,88.3,66.8
ISABELA,DINAPIGUE,4TH,1824,612.59,49.6,16.524721999999603,122.26305599999799,405,445.78,50,81.85,466,84.96,Rice/Palay,405,1112,712,39,79,4.3,700,398,991,40,824,125,7,113,234,12.8,0,275,0,318,17.4,22.2,2.7,87.2,82.6
ISABELA,DIVILACAN,1ST,1543,542.53,50.1,17.329721999999688,122.29611100000187,558,518.79,12,13.8,699,9.95,Rice/Palay,558,1185,358,23.2,43,2.8,579,338,564,495,972,314,21,254,133,8.6,0,297,260,704,45.6,36.2,0.8,91.4,54.4
ISABELA,ECHAGUE,6TH,14741,18469.36,51.1,16.716666999993475,121.68333300001305,6997,9496.7,5033,7626.5,3318,1346.16,Rice/Palay,6997,9064,5677,38.5,769,5.2,4531,4115,9645,5696,1890,2027,199,995,843,5.7,0,5326,205,5652,38.3,47.5,34.1,94.3,61.7
ISABELA,GAMU,2ND,6494,6479.37,52.2,17.04722199999744,121.8333329999856,2114,5070.88,1001,1352.83,310,55.65,Rice/Palay,2114,3797,2697,41.5,386,5.9,1714,1887,2700,2785,1422,178,54,537,370,5.7,1,3433,45,1332,20.5,32.6,15.4,94.3,79.5
ISABELA,ILAGAN CITY Capital,1ST,21495,24432.94,52.2,17.144167000006373,121.8888889999582,9488,9467.2,11349,14649.81,324,315.93,Corn,11349,14415,7080,32.9,679,3.2,6181,6207,14688,5067,3239,223,152,1351,4303,20,0,4789,54,7862,36.6,44.1,52.8,80,63.4
ISABELA,JONES,4TH,9007,14656.73,54.4,16.559166999999505,121.70361099997967,3936,3354.65,5235,9372.32,9669,1929.76,Corn,5235,5859,3148,35,210,2.3,2256,2959,6202,3803,1483,266,48,533,3885,43.1,0,1821,39,3261,36.2,43.7,58.1,56.9,63.8
