prism_psa_region_code,prism_region,prism_psa_province_code,province,prism_psa_municipal_code,municipality,prism_rice_area_2026s1,prism_planted_sep_2025,prism_planted_oct_2025,prism_planted_nov_2025,prism_planted_dec_2025,prism_planted_jan_2026,prism_planted_feb_2026,prism_planted_mar_2026,prism_harvested_dec_2025,prism_harvested_jan_2026,prism_harvested_feb_2026,prism_harvested_mar_2026,prism_harvested_apr_2026,prism_harvested_may_2026,prism_harvested_jun_2026,prism_growth_reproductive_ha,prism_growth_ripening_ha,prism_growth_harvested_ha,prism_standing_crop_area,prism_upcoming_harvest_area,prism_harvest_progress_pct,prism_dominant_growth_phase,prism_yield_area_ha,prism_production_mt,prism_yield_mt_ha,prism_flooded_nonrice_ha,prism_flooded_vegetative_ha,prism_flooded_reproductive_ha,prism_flooded_ripening_ha,prism_flooded_harvested_ha,prism_flooded_standing_crop_ha,prism_flooded_rice_total_ha,prism_flooded_reproductive_ripening_ha,prism_flooded_standing_share_pct,prism_flooded_rice_share_pct,prism_expected_production_at_risk_mt,prism_flood_damage_priority_score,prism_flood_damage_priority_class,prism_damage_event,prism_source_date
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201501000,Abulug,5616.76,0.00,0.00,27.40,563.96,4172.04,533.92,319.44,0.00,0.00,20.12,571.24,3870.80,835.16,319.44,319.44,1494.00,3803.32,1813.44,1154.60,67.71,Harvested,5616.76,24741.66,4.40,1650.68,6.48,0.00,0.00,0.00,6.48,6.48,0.00,0.36,0.12,28.51,2.02,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201502000,Alcala,3990.24,0.00,0.00,0.00,829.88,2483.20,337.60,339.56,0.00,0.00,0.00,829.88,2268.64,552.16,339.56,339.56,885.00,2765.68,1224.56,891.72,69.31,Harvested,3990.24,17357.14,4.35,3376.72,0.44,0.00,0.00,0.00,0.44,0.44,0.00,0.04,0.01,1.91,0.16,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201503000,Allacapan,6599.28,0.00,0.00,404.40,887.16,4178.92,816.88,311.92,0.00,0.00,236.04,1055.52,3953.12,1042.68,311.92,311.92,1568.68,4718.68,1880.60,1354.60,71.50,Harvested,6599.28,28593.39,4.33,2293.40,19.48,0.00,0.00,0.00,19.48,19.48,0.00,1.04,0.30,84.35,5.98,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201504000,Amulung,7419.96,0.00,0.00,0.00,2224.08,3874.20,596.16,725.52,0.00,0.00,0.00,2224.08,3511.48,958.88,725.52,725.52,1552.16,5142.28,2277.68,1684.40,69.30,Harvested,7419.96,32363.48,4.36,7655.00,2.92,0.00,0.00,0.00,2.92,2.92,0.00,0.13,0.04,12.73,0.84,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201505000,Aparri,5414.88,0.00,0.00,0.00,841.88,3284.92,844.04,444.04,0.00,0.00,0.00,841.88,3085.32,1043.64,444.04,444.04,1486.56,3484.28,1930.60,1487.68,64.35,Harvested,5414.88,22852.68,4.22,2534.32,2.76,0.00,0.00,0.00,2.76,2.76,0.00,0.14,0.05,11.65,0.84,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201506000,Baggao,8388.48,0.00,0.00,0.00,1370.16,5885.32,642.64,490.36,0.00,0.00,0.00,1370.16,5013.08,1514.88,490.36,490.36,2302.64,5595.48,2793.00,2005.24,66.70,Harvested,8388.48,36089.77,4.30,2160.76,0.52,0.00,0.00,0.00,0.52,0.52,0.00,0.02,0.01,2.24,0.14,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201507000,Ballesteros,5106.68,0.00,0.00,132.00,657.20,2978.32,943.52,395.64,0.00,0.00,125.44,663.76,2776.84,1145.00,395.64,395.64,1488.56,3222.48,1884.20,1540.64,63.10,Harvested,5106.68,21639.21,4.24,1394.88,56.76,0.00,0.00,0.00,56.76,56.76,0.00,3.01,1.11,240.66,17.39,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201508000,Buguey,4432.28,0.00,0.00,0.00,583.68,3017.04,477.16,354.40,0.00,0.00,0.00,583.68,2787.64,706.56,354.40,354.40,1068.64,3009.24,1423.04,1060.96,67.89,Harvested,4432.28,19017.35,4.29,1657.00,2.16,0.00,0.00,0.00,2.16,2.16,0.00,0.15,0.05,9.27,0.74,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201509000,Calayan,379.12,0.00,0.00,0.00,44.80,180.92,121.76,31.64,0.00,0.00,0.00,44.80,122.44,180.24,31.64,31.64,221.20,126.28,252.84,211.88,33.31,Ripening,379.12,1269.10,3.35,25.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201510000,Camalaniugan,2908.72,0.00,0.00,0.00,269.20,2074.20,381.44,183.88,0.00,0.00,0.00,269.20,1893.32,562.32,183.88,183.88,814.52,1910.32,998.40,746.20,65.68,Harvested,2908.72,12268.54,4.22,1540.88,0.96,0.00,0.00,0.00,0.96,0.96,0.00,0.10,0.03,4.05,0.38,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
