province,municipality,district,rsba_registry_count,rsba_crop_area_ha,rsba_avg_age,rsba_latitude,rsba_longitude,rsba_rice_count,rsba_rice_area_ha,rsba_corn_count,rsba_corn_area_ha,rsba_hvc_count,rsba_hvc_area_ha,rsba_top_crop,rsba_top_crop_count,rsba_male_count,rsba_female_count,rsba_female_pct,rsba_youth_count,rsba_youth_pct,rsba_millennial_count,rsba_senior_count,rsba_farmer_count,rsba_farmworker_count,rsba_fisherfolk_count,rsba_ip_count,rsba_pwd_count,rsba_4ps_count,rsba_fca_count,rsba_fca_pct,rsba_agriyouth_count,rsba_arb_count,rsba_organic_count,rsba_with_imc_count,rsba_imc_pct,rsba_rice_share_pct,rsba_corn_share_pct,rsba_fca_gap_pct,rsba_imc_gap_pct
BATANES,BASCO Capital,LONE,1278,141.62,54.2,20.463400000000348,122.00420000000375,51,2.45,82,18.21,2157,120.97,Pigs or swine,276,853,425,33.3,72,5.6,359,330,668,221,638,911,20,18,153,12,8,3,532,11,0.9,4,6.4,88.0,99.1
BATANES,ITBAYAT,LONE,1037,405.06,56.6,20.78777799999945,121.84138900000431,295,79.46,395,92.35,2357,233.26,Corn,392,700,337,32.5,22,2.1,269,368,620,100,463,884,13,24,177,17.1,0,1,453,204,19.7,28.4,38.1,82.9,80.3
BATANES,IVANA,LONE,647,171.66,55.1,20.378100000000813,121.93020000000169,8,1.71,16,3.01,1266,166.95,Pigs or swine,196,399,248,38.3,46,7.1,177,204,370,41,295,469,4,4,216,33.4,5,4,281,0,0,1.2,2.5,66.6,100.0
BATANES,MAHATAO,LONE,566,110.1,56.5,20.40520000000008,121.95299999999817,3,0.71,6,0.25,859,109.15,Other fruit-bearing vegetables,130,409,157,27.7,28,4.9,149,203,285,78,288,384,9,0,65,11.5,2,0,172,0,0,0.5,1.1,88.5,100.0
BATANES,SABTANG,LONE,1018,98.11,55.8,20.334999999999358,121.87194400000391,4,0.1,71,8.69,1045,89.33,Other fruit-bearing vegetables,227,638,380,37.3,74,7.3,273,341,493,178,521,764,19,23,32,3.1,13,14,345,0,0,0.4,7,96.9,100.0
BATANES,UYUGAN,LONE,771,69.06,52.7,20.373400000000295,121.95300000000044,1,0.05,17,3.5,1017,65.52,Other fruit-bearing vegetables,190,450,321,41.6,145,18.8,162,170,423,24,348,572,16,7,150,19.5,42,0,258,0,0,0.1,2.2,80.5,100.0
CAGAYAN,ABULUG,2ND,10509,9585.84,52.9,18.44361099999683,121.45722199999788,4338,7346,1212,1875.17,2663,364.66,Rice/Palay,4336,6321,4188,39.9,447,4.3,2986,3044,5549,3121,3398,332,85,707,1071,10.2,0,173,25,2926,27.8,41.3,11.5,89.8,72.2
CAGAYAN,ALCALA,1ST,9857,10342.98,52.9,17.902499999997364,121.65666699997847,4901,4772.28,4275,5516.94,565,53.76,Rice/Palay,4900,5731,4126,41.9,397,4,2757,3067,6440,3110,1179,7,62,681,907,9.2,74,271,29,4120,41.8,49.7,43.4,90.8,58.2
CAGAYAN,ALLACAPAN,2ND,9234,12030.18,52,18.225832999999717,121.55444399995261,4573,8908.95,1129,1576.49,6181,1544.8,Rice/Palay,4570,5258,3976,43.1,589,6.4,3007,2338,4910,4791,723,230,99,691,581,6.3,25,119,47,2936,31.8,49.5,12.2,93.7,68.2
CAGAYAN,AMULUNG,3RD,13278,17314.35,51.7,17.83722200000146,121.72333299997928,5165,8054.51,5454,9229.95,374,29.9,Corn,5451,8721,4557,34.3,432,3.3,4292,3779,7894,4474,2393,178,187,1071,536,4,0,1395,49,3831,28.9,38.9,41.1,96.0,71.1
CAGAYAN,APARRI,1ST,15227,9757.3,51.9,18.35722200000167,121.63722199997304,5607,9357.9,228,266.41,2382,132.99,Rice/Palay,5607,10143,5084,33.4,524,3.4,4747,4251,5743,4023,8197,2443,170,1537,1615,10.6,0,1408,94,3868,25.4,36.8,1.5,89.4,74.6
CAGAYAN,BAGGAO,1ST,15408,30995.9,51.8,18.27111099999216,121.68000000004574,9152,10512.39,10965,20273.23,13794,210.28,Corn,10960,10933,4475,29,660,4.3,4998,4190,13682,6893,1624,106,209,1186,1812,11.8,13,71,71,7320,47.5,59.4,71.2,88.2,52.5
CAGAYAN,BALLESTEROS,2ND,8355,6936.9,53.6,18.410000000002587,121.51527799999114,3240,6143.67,31,33.98,3037,759.26,Rice/Palay,3237,5184,3171,38,206,2.5,2357,2682,4109,2730,2448,21,53,627,417,5,0,469,236,2231,26.7,38.8,0.4,95.0,73.3
CAGAYAN,BUGUEY,1ST,8645,6869.57,52,18.286388999996486,121.8347220000168,3450,5412.56,668,1274.02,970,182.99,Rice/Palay,3450,5409,3236,37.4,315,3.6,2660,2462,3645,2359,3475,41,71,562,980,11.3,0,576,11,2397,27.7,39.9,7.7,88.7,72.3
CAGAYAN,CALAYAN,2ND,4490,2827.29,49.4,19.26194399999861,121.47583300000352,1733,991.79,1050,820.38,4598,1015.13,Rice/Palay,1733,3359,1131,25.2,131,2.9,1631,972,2636,796,2079,125,61,660,381,8.5,0,584,119,1462,32.6,38.6,23.4,91.5,67.4
CAGAYAN,CAMALANIUGAN,1ST,5425,5492.37,51.4,18.274999999998148,121.67444400000319,2838,5106.22,230,356.07,491,30.09,Rice/Palay,2838,3654,1771,32.6,380,7,1593,1614,2912,2542,661,218,101,402,1009,18.6,0,291,42,1858,34.2,52.3,4.2,81.4,65.8
CAGAYAN,CLAVERIA,2ND,9742,4056.27,51,18.608888999997408,121.08388899997223,3516,3821.16,19,17.98,1988,217.14,Rice/Palay,3515,6473,3269,33.6,1048,10.8,2525,2789,4442,2452,3713,42,95,401,2694,27.7,109,473,39,2449,25.1,36.1,0.2,72.3,74.9
CAGAYAN,ENRILE,3RD,6349,7681.19,53.6,17.56083299999831,121.6894440000115,2743,4901.95,1966,2616.33,1064,162.91,Rice/Palay,2743,4011,2338,36.8,288,4.5,1782,1974,3582,2521,711,249,49,441,82,1.3,54,681,9,1718,27.1,43.2,31,98.7,72.9
CAGAYAN,GATTARAN,1ST,14317,18254.22,52.6,18.061388999998247,121.64333299997251,6828,8161.15,5784,9611.01,1161,482.05,Rice/Palay,6826,8778,5539,38.7,751,5.2,4114,4334,9357,4897,1836,261,205,941,1365,9.5,0,81,127,5380,37.6,47.7,40.4,90.5,62.4
