province,municipality,soil_lab_area_ha,soil_low_fertility_area_ha,soil_medium_fertility_area_ha,soil_high_fertility_area_ha,soil_low_fertility_pct,soil_acidic_area_ha,soil_neutral_area_ha,soil_alkaline_area_ha,soil_acidic_pct,soil_alkaline_pct,soil_n_low_area_ha,soil_p_low_area_ha,soil_k_low_area_ha,soil_n_low_pct,soil_p_low_pct,soil_k_low_pct,soil_npk_multiple_low_area_ha,soil_npk_multiple_low_pct,soil_zinc_deficient_area_ha,soil_zinc_deficient_pct,soil_acidic_low_fertility_area_ha,soil_acidic_low_fertility_pct,soil_low_fertility_zinc_def_area_ha,soil_low_fertility_zinc_def_pct,soil_rice_tested_area_ha,soil_rice_low_fertility_area_ha,soil_rice_low_fertility_pct,soil_rice_acidic_area_ha,soil_rice_acidic_pct,soil_rice_npk_multiple_low_area_ha,soil_rice_npk_multiple_low_pct,soil_rice_zinc_deficient_area_ha,soil_rice_zinc_deficient_pct,soil_corn_tested_area_ha,soil_corn_low_fertility_area_ha,soil_corn_low_fertility_pct,soil_corn_acidic_area_ha,soil_corn_acidic_pct,soil_corn_npk_multiple_low_area_ha,soil_corn_npk_multiple_low_pct,soil_corn_zinc_deficient_area_ha,soil_corn_zinc_deficient_pct,soil_fertility_stress_score
Cagayan,Abulug,1998.62,1056.12,831,111.5,52.84,1032.58,950.04,16,51.66,0.8,1001.59,1582.62,246.12,50.11,79.19,12.31,1056.12,52.84,382,19.11,423.08,21.17,157.5,7.88,522.62,242.12,46.33,502.58,96.17,242.12,46.33,382,73.09,1476,814,55.15,530,35.91,814,55.15,0,0,51.96
Cagayan,Alcala,4977.5,2509.75,1649.97,817.78,50.42,1048,3295.5,634,21.05,12.74,3567,3149.5,82.75,71.66,63.27,1.66,2509.75,50.42,54,1.08,630,12.66,17,0.34,170.5,70.75,41.5,96,56.3,70.75,41.5,54,31.67,4807,2439,50.74,952,19.8,2439,50.74,0,0,45.79
Cagayan,Allacapan,801.02,232.08,539.17,29.77,28.97,658.02,143,0,82.15,0,121.87,707.33,166.48,15.21,88.3,20.78,232.08,28.97,339.27,42.35,213.08,26.6,110.18,13.75,455.02,178.08,39.14,447.02,98.24,178.08,39.14,339.27,74.56,346,54,15.61,211,60.98,54,15.61,0,0,40.8
Cagayan,Amulung,9713.72,4203.12,4147.05,1363.55,43.27,2176.4,7533.22,4.1,22.41,0.04,5266.39,6573.68,451.15,54.22,67.67,4.64,4203.12,43.27,591.92,6.09,779.71,8.03,248.09,2.55,1304.76,452.25,34.66,786.1,60.25,452.25,34.66,546.12,41.86,8408.96,3750.87,44.61,1390.3,16.53,3750.87,44.61,45.8,0.54,42.8
Cagayan,Aparri,879.34,195.76,335.28,348.3,22.26,859.59,18,1.75,97.75,0.2,32,754.89,201.06,3.64,85.85,22.86,195.76,22.26,255,29,193.01,21.95,14,1.59,830.94,195.76,23.56,811.19,97.62,195.76,23.56,255,30.69,48.4,0,0,48.4,100,0,0,0,0,37.22
Cagayan,Baggao,12779.02,6868.4,4778.92,1131.7,53.75,7458.2,3434.62,1886.2,58.36,14.76,7936.4,10676.15,146.77,62.1,83.54,1.15,6868.4,53.75,1591.7,12.46,4312,33.74,923.5,7.23,19.32,6.4,33.13,9.7,50.21,6.4,33.13,6,31.06,12759.7,6862,53.78,7448.5,58.38,6862,53.78,1585.7,12.43,55.18
Cagayan,Ballesteros,117.3,69,46.8,1.5,58.82,114.3,3,0,97.44,0,16.7,115.3,55.5,14.24,98.29,47.31,69,58.82,105.9,90.28,66,56.27,62,52.86,117.3,69,58.82,114.3,97.44,69,58.82,105.9,90.28,0,0,0,0,0,0,0,0,0,61.83
Cagayan,Buguey,1030.44,487.44,365.18,177.82,47.3,907.03,122.62,0.79,88.02,0.08,38.47,860.76,470.97,3.73,83.53,45.71,487.44,47.3,476.47,46.24,481.58,46.74,380.41,36.92,595.44,472.44,79.34,577.03,96.91,472.44,79.34,476.47,80.02,435,15,3.45,330,75.86,15,3.45,0,0,56.02
Cagayan,Calayan,6,3,2,1,50,1,5,0,16.67,0,3,6,0,50,100,0,3,50,0,0,1,16.67,0,0,2,1,50,1,50,1,50,0,0,4,2,50,0,0,2,50,0,0,30.7
Cagayan,Camalaniugan,879.32,584.39,247.24,47.69,66.46,695.64,183.68,0,79.11,0,134.9,829.47,476.07,15.34,94.33,54.14,584.39,66.46,229.06,26.05,479.71,54.55,175.8,19.99,655.52,482.39,73.59,611.84,93.34,482.39,73.59,225.26,34.36,223.8,102,45.58,83.8,37.44,102,45.58,3.8,1.7,59.16
